obs,time,elapsed,date,hhmmss,averaging,id,machine,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,F:MN,F:SLP,F:SD,F:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r,NA
1,1743702325,0,20250403 12:45:24,12:45:24,5,4250_mai_yellow,albert,1743702317,0.000118903,0.118902627,0.504071921,399.3503226,234.3040627,21.14863355,36.0459547,0.005256572,2.750714969,0.005250997,0.003282374,85.93093802,25.65421084,25.65421084,3.305829941,40.96814985,1.314273664,3.208037631,1.991556277,-5.243605851,-74.91767414,-5.784338894,-0.014680867,0,0,1,0,48053,482.0945806,396.0406926,0.821499989,0.178244978,6,0.5,0: Broadleaf,2,1743702317,399.3503226,400.0121935,14.56073548,14.42012903,399.3393226,14.51673548,499.9969032,90.16149677,0.099992103,25.14902258,24.99859032,999.9,0,0,9997.257742,0,182.0952903,-0.826118677,405.0851935,405.864871,0.142390161,400.0121935,14.42012903,1.312978387,1.300140968,10.94824516,10.80046452,299.9992903,0.900008806,0.099991177,0,1.947187097,0,1256.248065,2534.65871,37.42096774,39.63074194,37.66703226,38.80412903,36.66496774,270.0022581,30,0,1743702326,0,1743702344,12:45:44,1743702344,1743702342,1,0.164,0,0.011,0.044,400,14,0.26,0.09,-0.822914683,-0.203034794,0.037962523,1,1.957702941,0.110149739,0.160425443,-1,0.142493805,-0.000978794,0.000559863,1,2,2,2-Feb,3.1307,2.77778,0.0828196,0.0833528,0.0755684,0.0753023,27731.5,26881.7,30766.2,29567.5,39251.2,35953.8,47055.3,43907,1.85483,1.92155,0.0640824,0,23.9427,999.9,32.9,28.9,14.5921,64.18,17.5721,1,-0.0790396,-0.0610212,20.2605,5.23945,11.9685,4.97305,3.291,9999,9999,9999,999.9,4.97275,1.87654,1.87462,1.87742,1.87423,1.87781,1.87495,1.87606,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,0.011,0.044,-0.350285949,0.00067337,-5.61E-07,2.77E-10,-0.061647259,-0.000554366,0.000592956,-3.10E-06,0,2134,1,26,1261.2,1261.3,1.06079,2.53418,1.39893,2.35352,1.44897,2.50366,33.1769,15.5505,18,475.191,486.545,24.2957,26.0107,30.0001,25.7729,25.8402,21.2674,-30,-30,24.2889,400,0,101.699,101.02,NA
2,1743702417,92,20250403 12:46:56,12:46:56,5,4250_mai_yellow,albert,1743702409,0.000118052,0.118051964,0.210792135,299.6740333,225.8057015,20.37896098,27.04557675,0.005242371,2.751138095,0.005236828,0.003273515,85.92660534,25.61198924,25.61198924,3.297558302,41.0967249,1.315075237,3.199951432,1.982483065,-5.206091621,-74.95159168,-5.78360751,-0.014685476,0,0,1,0,48075,482.0706667,396.0210109,0.821499913,0.178244833,6,0.5,0: Broadleaf,2,1743702409,299.6740333,299.9694333,14.57147333,14.43187667,299.7420333,14.52947333,500.0052333,90.14997333,0.1000108,25.10665,24.98388,999.9,0,0,10001.043,0,182.0923333,-0.255097533,304.1473667,304.3618667,0.143415,299.9694333,14.43187667,1.313961667,1.301033,10.95952,10.81079333,299.9783333,0.9000013,0.099998687,0,2.00795,0,1247.094333,2534.476,35.66846667,38.00396667,36.53723333,36.71426667,35.45176667,269.9813333,29.996,0,1743702418,0,1743702435,12:47:14,1743702435,1743702434,2,-0.041,-0.002,-0.068,0.042,300,14,0.49,0.08,-0.239051075,-0.375759073,0.043839236,1,2.020420588,-0.068805194,0.230965478,-1,0.1432948,-0.001544668,0.000798211,1,2,2,2-Feb,3.13064,2.77784,0.0660862,0.0664453,0.0756026,0.0753343,28239.3,27377.5,30768.2,29567.4,39250.9,35951.3,47058.1,43907,1.855,1.921,0.0644624,0,23.9198,999.9,32.9,28.9,14.593,63.7699,17.5321,1,-0.0794131,-0.203252,20.2626,5.23975,11.968,4.97325,3.291,9999,9999,9999,999.9,4.97275,1.87653,1.87461,1.87738,1.87419,1.87779,1.87488,1.87603,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-0.068,0.042,-0.186593741,0.00067337,-5.61E-07,2.77E-10,-0.06180349,-0.000554366,0.000592956,-3.10E-06,0,2134,1,26,1.2,1.2,0.848389,2.49756,1.39893,2.35352,1.44897,2.55859,33.1992,15.5417,18,475.2,486.061,24.5124,25.9998,30.0002,25.7604,25.8264,17.0084,-30,-30,24.5125,300,0,101.705,101.02,NA
3,1743702510,185,20250403 12:48:29,12:48:29,5,4250_mai_yellow,albert,1743702502,0.000119448,0.119448163,0.046932093,199.9014194,178.8680102,16.14168768,18.0398176,0.005295761,2.750508723,0.005290103,0.003306822,85.94158339,25.62792963,25.62792963,3.300679059,41.05900201,1.31513118,3.203027633,1.985547879,-5.267663994,-74.90623313,-5.782362269,-0.014676001,0,0,1,0,48056,482.1553226,396.090498,0.821499794,0.178244602,6,0.5,0: Broadleaf,2,1743702502,199.9014194,199.9863871,14.57312903,14.4318871,200.0864194,14.52912903,500.0247097,90.14355161,0.100017713,25.12278065,25.00178387,999.9,0,0,9998.025806,0,182.0954516,-0.012938462,202.9308065,202.9148065,0.14151771,199.9863871,14.4318871,1.313698065,1.300941613,10.95649355,10.80973548,300.059871,0.900007258,0.099992739,0,1.976925806,0,1250.413548,2535.171935,35.65709677,39.71948387,37.46754839,38.74577419,36.26793548,270.0558065,30.0016129,0,1743702511,0,1743702531,12:48:50,1743702525,1743702531,3,-0.072,0.002,-0.185,0.044,200,14,0.39,0.2,0.0121975,-0.407254877,0.050900317,1,1.990029412,-0.291297172,0.177724768,-1,0.14142885,-9.57E-05,0.000778628,1,2,2,2-Feb,3.13075,2.77773,0.0469844,0.0471692,0.0755946,0.0753343,28817.9,27942.7,30769.1,29567.1,39251.2,35949.7,47059.8,43906.7,1.85497,1.92048,0.065811,0,23.9185,999.9,32.9,28.9,14.5933,64.0399,17.4319,1,-0.0800966,0.276435,20.2616,5.24005,11.968,4.97305,3.291,9999,9999,9999,999.9,4.97275,1.87663,1.87467,1.87746,1.87425,1.87786,1.87497,1.87606,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-0.185,0.044,-0.227432339,0.00067337,-5.61E-07,2.77E-10,-0.063347669,-0.000554366,0.000592956,-3.10E-06,0,2134,1,26,1.2,1.3,0.625,2.52197,1.39893,2.35229,1.44897,2.51953,33.2216,15.5242,18,475.102,485.591,24.6182,25.9888,30.0002,25.7479,25.8123,12.5459,-30,-30,24.4671,200,0,101.708,101.019,NA
4,1743702604,279.5,20250403 12:50:04,12:50:04,5,4250_mai_yellow,albert,1743702596,0.000114891,0.114890828,-0.180613025,100.1917333,152.4441317,13.75601264,9.040943295,0.005090566,2.751425844,0.005085339,0.003178806,85.91867553,25.63041675,25.63041675,3.301166212,41.03980516,1.31463605,3.203319423,1.986530162,-5.066685495,-75.0732793,-5.793442629,-0.014731888,0,0,1,0,47904,482.0259,395.9842608,0.821499967,0.178244936,6,0.5,0: Broadleaf,2,1743702596,100.1917333,99.98880667,14.56879667,14.43293333,100.4137333,14.52479667,499.9892333,90.13645667,0.099962987,25.12431,24.99317,999.9,0,0,10004.24833,0,182.0415,0.187605267,101.6576,101.4531,0.137705367,99.98880667,14.43293333,1.313345333,1.300933667,10.95245,10.80963667,299.9844,0.8999989,0.10000108,0,2.065313333,0,1254.719667,2534.525333,36.31646667,40.60806667,37.9872,40.083,36.829,269.9856667,29.99766667,0,1743702606,0,1743702624,12:50:23,1743702624,1743702620,4,0.015,0,-0.222,0.044,100,14,0.23,0.13,0.218449463,-0.473331868,0.056048738,1,2.024447059,0.520589767,0.207874035,-1,0.137744951,-0.004112927,0.000959312,1,2,2,2-Feb,3.13072,2.7778,0.0249331,0.0249367,0.0755824,0.0753365,29486.1,28594.1,30770.4,29566.3,39251.5,35946.9,47061.5,43905.3,1.85502,1.9202,0.0666939,0,23.9077,999.9,33,28.9,14.6376,64.0499,17.6322,1,-0.0811789,-0.218192,20.2624,5.23526,11.968,4.97325,3.291,9999,9999,9999,999.9,4.97275,1.87665,1.87469,1.87744,1.87424,1.8779,1.87499,1.87607,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-0.222,0.044,-0.299571483,0.00067337,-5.61E-07,2.77E-10,-0.061716853,-0.000554366,0.000592956,-3.10E-06,0,2134,1,26,1.3,1.2,0.391846,2.54028,1.39893,2.35352,1.44897,2.50366,33.244,15.5067,18,475.028,485.293,24.581,25.9757,30.0002,25.733,25.799,7.88216,-30,-30,24.5794,100,0,101.712,101.016,NA
5,1743702693,368,20250403 12:51:32,12:51:32,5,4250_mai_yellow,albert,1743702685,0.000109799,0.109798753,-0.234517658,50.24789032,124.4888538,11.23193081,4.533585221,0.004851519,2.751170558,0.004846771,0.003029658,85.87824604,25.65523959,25.65523959,3.30603171,40.97546888,1.314424121,3.2078318,1.991607589,-4.842125015,-75.24247166,-5.808452856,-0.014803496,0,0,1,0,47877,481.8001935,395.7987401,0.821499753,0.178244524,6,0.5,0: Broadleaf,2,1743702685,50.24789032,49.97309032,14.56839032,14.43855161,50.61289032,14.52539032,500.0010968,90.12443548,0.099953884,25.14794516,25.00876129,999.9,0,0,10004.06935,0,181.7946452,0.388303839,51.10607097,50.7051871,0.132619613,49.97309032,14.43855161,1.313219032,1.301265806,10.951,10.81348387,300.0055484,0.900021935,0.099977977,0,1.96126129,0,1258.029032,2534.724516,36.91106452,41.12280645,38.30012903,40.89090323,37.2316129,270.0116129,29.99580645,0,1743702694,0,1743702710,12:51:49,1743702708,1743702710,5,-0.113,-0.001,-0.365,0.043,50,14,0.33,0.18,0.4031915,-0.355509276,0.042293128,1,1.966858824,-0.045356759,0.169698123,-1,0.13310595,-0.012818116,0.001345815,1,2,2,2-Feb,3.13078,2.77786,0.012809,0.0127082,0.0755757,0.0753465,29853.9,28953.2,30771.3,29566.6,39252.1,35946.3,47062.9,43906.1,1.85522,1.91987,0.0656247,0,23.9238,999.9,33,28.9,14.6414,63.9198,17.4479,1,-0.082876,-0.0754466,20.2621,5.2405,11.9689,4.97335,3.291,9999,9999,9999,999.9,4.97275,1.87667,1.87471,1.87747,1.87433,1.8779,1.87498,1.8761,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-0.365,0.043,-0.28418304,0.00067337,-5.61E-07,2.77E-10,-0.061775991,-0.000554366,0.000592956,-3.10E-06,0,2134,1,26,1.1,1.2,0.274658,2.56592,1.39893,2.35352,1.44897,2.49756,33.2663,15.4892,18,475.046,484.949,24.3527,25.9626,30,25.72,25.7841,5.53269,-30,-30,24.4313,50,0,101.715,101.018,NA
6,1743702787,462,20250403 12:53:06,12:53:06,5,4250_mai_yellow,albert,1743702779,0.000108972,0.108972128,0.558585761,399.2304516,202.9287685,18.30754782,36.0172224,0.004824318,2.750037506,0.004819621,0.003012685,85.88496307,25.65056396,25.65056396,3.305114765,41.08602948,1.317567188,3.20684964,1.987547577,-4.805670858,-75.28061739,-5.813505043,-0.014830228,0,0,1,0,48039,481.8363548,395.8285873,0.821500045,0.178245087,6,0.5,0: Broadleaf,2,1743702779,399.2304516,399.9529677,14.60448387,14.47562581,399.2244516,14.56048387,499.995,90.11662903,0.099992116,25.14280323,25.00141613,999.9,0,0,9998.22,0,181.8439677,-0.929004484,404.9383871,405.8275806,0.130229258,399.9529677,14.47562581,1.31623129,1.304495161,10.98549355,10.85075484,299.9923871,0.899994,0.100006,0,2.027690323,0,1241.782581,2534.588387,37.72751613,41.542,38.67709677,41.52803226,37.63887097,269.9909677,30,0,1743702788,0,1743702805,12:53:25,1743702805,1743702803,6,0.206,0,0.006,0.044,400,14,0.41,0.15,-0.9397393,0.071200728,0.083158578,1,2.022935294,0.025906794,0.19845252,-1,0.13003735,0.006122949,0.000980859,1,2,2,2-Feb,3.13077,2.77778,0.0827873,0.0833352,0.0756989,0.0754817,27739.1,26881.8,30773.2,29566.8,39254.6,35946.2,47066.1,43906.4,1.85567,1.921,0.0650994,0,23.9272,999.9,33,28.9,14.6417,63.8798,17.5521,1,-0.0838516,-0.0672958,20.2626,5.24035,11.968,4.97325,3.291,9999,9999,9999,999.9,4.97275,1.87664,1.87468,1.87749,1.87429,1.87789,1.87497,1.87608,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,0.006,0.044,-0.397366378,0.00067337,-5.61E-07,2.77E-10,-0.062693936,-0.000554366,0.000592956,-3.10E-06,0,2134,1,26,1.3,1.3,1.06323,2.51099,1.39893,2.35352,1.44897,2.5415,33.2887,15.4892,18,475.171,485.556,24.3386,25.9472,30.0001,25.7029,25.7686,21.3159,-30,-30,24.3311,400,0,101.722,101.018,NA
7,1743702866,541.5,20250403 12:54:26,12:54:26,5,4250_mai_yellow,albert,1743702858,0.000106515,0.106514988,0.423760553,399.4246129,243.7194547,21.98679093,36.033502,0.004710295,2.751267315,0.00470582,0.002941539,85.90659972,25.65969612,25.65969612,3.306905892,41.05621112,1.317280129,3.208479529,1.989625763,-4.697310975,-75.40326451,-5.820890401,-0.014866162,0,0,1,0,47922,481.9573548,395.9280245,0.821500119,0.17824523,6,0.5,0: Broadleaf,2,1743702858,399.4246129,399.9841935,14.60180323,14.47584839,399.3856129,14.55880323,499.9871935,90.11358065,0.099943587,25.15133548,25.00825484,999.9,0,0,10005.84806,0,181.9243871,-0.593007645,405.3104194,405.8593871,0.128531548,399.9841935,14.47584839,1.316052258,1.30447,10.98345161,10.85046452,300.0329677,0.899994871,0.100005129,0,2.003474194,0,1239.923548,2534.933226,38.01780645,41.82825806,39.02187097,41.9453871,37.94106452,270.0283871,30.00580645,0,1743702868,0,1743702887,12:54:46,1743702887,1743702882,7,0.034,0,0.039,0.043,400,14,0.3,0.12,-0.6084121,0.253311422,0.040683957,1,1.977902941,0.421688308,0.149014073,-1,0.12899815,-0.009976931,0.001146805,1,2,2,2-Feb,3.13072,2.77779,0.0828055,0.083328,0.0756926,0.0754835,27739.2,26882.3,30773.9,29567,39255.6,35946.3,47066.9,43906.6,1.85553,1.92138,0.0658631,0,23.9218,999.9,33,28.9,14.6431,64.1898,17.5841,1,-0.0852363,0.0109014,20.2627,5.2405,11.968,4.97325,3.291,9999,9999,9999,999.9,4.97275,1.87658,1.87463,1.87744,1.87423,1.87785,1.87497,1.87605,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,0.039,0.043,-0.191569553,0.00067337,-5.61E-07,2.77E-10,-0.062486309,-0.000554366,0.000592956,-3.10E-06,0,2134,1,26,1,1.1,1.06323,2.51587,1.39893,2.35352,1.44897,2.50977,33.2887,15.4717,18,475,485.677,24.2621,25.9319,30,25.6895,25.7541,21.3183,-30,-30,24.2621,400,0,101.724,101.019,NA
8,1743702966,641,20250403 12:56:05,12:56:05,5,4250_mai_yellow,albert,1743702958,0.000104634,0.104633668,0.820203411,598.9650323,299.9823855,27.06296695,54.03574228,0.004644712,2.74988989,0.004640358,0.002900615,85.87880524,25.62658397,25.62658397,3.30041551,41.16931964,1.318260105,3.202044912,1.982155405,-4.614344743,-75.45361994,-5.825738154,-0.014897593,0,0,1,0,47854,481.8029355,395.8010291,0.821499829,0.17824467,6,0.5,0: Broadleaf,2,1743702958,598.9650323,600.0244839,14.61239677,14.48867097,598.7300323,14.56739677,499.9994194,90.11521935,0.099967452,25.11762903,24.98233226,999.9,0,0,9997.501613,0,181.8297097,-1.190902581,607.7141613,608.845871,0.124175129,600.0244839,14.48867097,1.316839677,1.305649355,10.99244194,10.86404839,299.9732258,0.900010839,0.099989148,0,2.013432258,0,1231.895161,2534.44129,36.9896129,38.92709677,37.22548387,37.81029032,36.19929032,269.9790323,29.99387097,0,1743702967,0,1743702983,12:56:22,1743702983,1743702983,8,0.131,0.001,0.235,0.045,600,14,0.52,0.07,-1.197388,0.249000675,0.055986241,1,2.003129412,0.171700537,0.174851995,-1,0.124282375,0.000996867,0.000892289,1,2,2,2-Feb,3.13077,2.7778,0.111284,0.112096,0.0757368,0.0755349,26879.6,26039.2,30775.7,29567.6,39257.7,35946.9,47069.3,43907.4,1.85602,1.9219,0.0654347,0,23.9077,999.9,33.1,28.9,14.6857,64.1599,17.4119,1,-0.0864405,-0.155877,20.2608,5.23631,11.968,4.9727,3.291,9999,9999,9999,999.9,4.97276,1.87661,1.87467,1.87744,1.87425,1.87789,1.87498,1.87606,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,0.235,0.045,-0.157813162,0.00067337,-5.61E-07,2.77E-10,-0.062735332,-0.000554366,0.000592956,-3.10E-06,0,2134,1,26,1.3,1.4,1.46606,2.51099,1.39893,2.35352,1.44897,2.57935,33.3111,15.4542,18,475.135,485.866,24.3527,25.9131,30,25.67,25.7361,29.3745,-30,-30,24.3588,600,0,101.729,101.021,NA
9,1743703057,732.0999999,20250403 12:57:36,12:57:36,5,4250_mai_yellow,albert,1743703049,0.000103714,0.103714477,1.047867127,798.6475333,413.3345671,37.29009691,72.05214925,0.004615899,2.750908243,0.004611601,0.002882636,85.87760275,25.60464099,25.60464099,3.296120553,41.24743407,1.319029791,3.197846899,1.977090762,-4.573808432,-75.4933353,-5.825359061,-0.014900043,0,0,1,0,47917,481.7965667,395.7957623,0.821499757,0.17824453,6,0.5,0: Broadleaf,2,1743703049,798.6475333,800.0044333,14.62052,14.49787667,798.5425333,14.57552,499.9772,90.11776333,0.099943777,25.09560667,24.99326,999.9,0,0,10003.255,0,181.806,-1.16817,810.6902333,811.7733333,0.1241929,800.0044333,14.49787667,1.317708,1.306516333,11.00236667,10.87402,299.9905667,0.900009733,0.099990253,0,2.01573,0,1231.468,2534.586667,35.456,38.66433333,36.9373,37.37056667,35.74346667,269.9946667,29.994,0,1743703059,0,1743703074,12:57:53,1743703074,1743703074,9,-0.189,0,0.105,0.045,800,14,0.34,0.15,-1.189972927,0.491416516,0.06732344,1,1.99115,0.129721928,0.172801437,-1,0.124493293,-0.005196544,0.000950396,1,2,2,2-Feb,3.13058,2.77754,0.135356,0.136357,0.0757668,0.0755727,26152.6,25327.5,30776.8,29567.2,39260.1,35946.7,47071.5,43907,1.856,1.923,0.0639036,0,23.9487,999.9,33.1,28.8,14.6016,63.9316,17.6482,1,-0.0878455,-0.130536,20.2617,5.23571,11.968,4.9722,3.29028,9999,9999,9999,999.9,4.97276,1.87657,1.87464,1.87744,1.87424,1.87787,1.87496,1.87605,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,0.105,0.045,-0.02708377,0.00067337,-5.61E-07,2.77E-10,-0.06175474,-0.000554366,0.000592956,-3.10E-06,0,2134,1,26,1.2,1.2,1.8457,2.49634,1.39893,2.35352,1.44897,2.55127,33.3111,15.4454,18,475.004,486.441,24.3698,25.8948,30,25.6527,25.7188,36.9723,-30,-30,24.3713,800,0,101.734,101.02,NA
10,1743703153,828.5999999,20250403 12:59:13,12:59:13,5,4250_mai_yellow,albert,1743703145,0.000101557,0.101557352,1.22098225,998.4119333,538.1094428,48.54418176,90.0692062,0.004518836,2.750844421,0.004514717,0.002822068,85.94297591,25.6047272,25.6047272,3.296137419,41.24056332,1.318737007,3.197669723,1.977400412,-4.478679214,-75.64229238,-5.836963845,-0.014959535,0,0,1,0,47906,482.1630667,396.096866,0.821499807,0.178244627,6,0.5,0: Broadleaf,2,1743703145,998.4119333,999.9988667,14.61812333,14.49803,998.2219333,14.57312333,499.975,90.11252333,0.099946283,25.09467667,24.99459667,999.9,0,0,10003.45833,0,182.1652333,-1.6045,1013.208,1014.709667,0.1219661,999.9988667,14.49803,1.317444333,1.306454333,10.99934667,10.87330333,299.9978333,0.900014633,0.099985303,0,1.952383333,0,1237.576333,2534.651667,35.84146667,40.12473333,37.6748,39.24553333,36.4664,270.0026667,29.996,0,1743703155,0,1743703173,12:59:33,1743703173,1743703169,10,0.017,0,0.19,0.045,1000,14,0.58,0.14,-1.632005,0.420265666,0.07890526,1,1.968197059,-0.143647056,0.168687605,-1,0.121938475,-0.001415291,0.000603466,1,2,2,2-Feb,3.13086,2.77784,0.156449,0.15763,0.0757557,0.075567,25516.4,24705.1,30778.8,29568.7,39264.4,35950.7,47074.3,43909.8,1.85705,1.9231,0.0636056,0,23.952,999.9,33.1,28.8,14.6018,63.9816,17.5,1,-0.0893902,-0.192021,20.2624,5.2402,11.968,4.9734,3.291,9999,9999,9999,999.9,4.97275,1.87657,1.87467,1.87744,1.87424,1.87789,1.87497,1.87606,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,0.19,0.045,-0.216067555,0.00067337,-5.61E-07,2.77E-10,-0.061390354,-0.000554366,0.000592956,-3.10E-06,0,2134,1,26,1.3,1.3,2.20703,2.49512,1.39893,2.35352,1.44897,2.55127,33.3335,15.4367,18,475.446,486.342,24.4721,25.8762,30,25.6353,25.7,44.1892,-30,-30,24.4748,1000,0,101.74,101.026,NA
