obs,time,elapsed,date,hhmmss,averaging,id,machine,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Qmax_d,Fo,Fm,Fv/Fm,A_dark,LightAdaptedID,Qmax,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,A_fs,ETR,PhiCO2,NPQ,alt._Fo',DarkPulseID,Fmin,Fo',Fv'/Fm',qP,qN,qP_Fo,qN_Fo,qL,1-qL,ID,P1_dur,P1_Fmax,T@P1_Fmax,Q@P1_Fmax,P1_PredF,P1_ΔF,P2_dur,P2_ramp,P2_int,P2_int_se,P2_slp,P2_slp_se,P2_R2,P2_dQdt,P3_dur,P3_Fmax,T@P3_Fmax,Q@P3_Fmax,P3_PredF,P3_ΔF,ID,Dur,DCo,InitSlope,Fo,F1,T@F1,T@HIR,F2,T@F2,DCmax,T@DCmax,PhiPS2_dc,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,F:MN,F:SLP,F:SD,F:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r,NA
1,1743701913,0,20250403 12:38:32,12:38:32,5,4781_mai_green,stan,1743701905,0.000252655,0.252655074,1.516120216,399.3371333,208.2730067,18.80539709,36.05696909,0.013368846,2.841975452,0.013334007,0.008336877,49.6185404,25.12579944,24.08769333,3.010787588,42.45120161,1.341148776,3.159271647,1.669638812,-11.14208875,123.2412887,9.125663923,170.8434043,15,3,1,0,48002,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,300.0076333,252.9065789,0.84300048,0.165390926,2,0.5,0: Broadleaf,2,1743701905,399.3371333,399.9839333,14.85345333,14.75389333,400.1931333,14.81545333,500.0045667,90.19206667,0.099985037,24.89205333,24.08769333,999.9,0,0,10003.63633,0,190.9989,-0.215282167,405.8025,405.9736,0.1149251,399.9839333,14.75389333,1.341048667,1.330684,11.26697667,11.14997667,300.0076333,0.899984867,0.100015043,0,2.201796667,0,707.1201667,2812.45,36.0268,39.0935,37.83306667,38.74973333,36.01426667,270.003,30.00566667,0,1743701912,0,2.209856,1.255715383,1.171461551,707.09772,15,1743701930,12:38:49,1743701929,1743701930,1,-0.43,-0.014,-0.856,0.038,400,15,0.22,0.13,-0.221020195,0.206649136,0.042777912,1,2.231914706,-0.10454851,0.192176111,-1,0.114584585,0.008548725,0.001103256,1,2,2,2-Feb,3.1348,2.7602,0.090756,0.0898816,0.075726,0.0745321,29161.3,29148.2,29799.3,29586.6,36440.9,36292.5,41981.5,42048.5,1.91003,1.90707,0.0468642,0,23.3176,999.9,35.2,27.9,14.7252,62.1224,29.371,1,-0.0953201,0.255098,20.4102,5.22852,12.0113,4.9928,3.28973,9999,9999,9999,999.9,1.86711,1.86621,1.86564,1.86566,1.86738,1.86996,1.86859,1.87012,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-0.856,0.038,0.412579181,-0.002150082,2.08E-07,-1.53E-10,-0.034538665,-0.002722057,0.000786767,-1.37E-05,4,2345,1,26,1247.4,1247.5,1.00098,2.26807,1.39648,2.35718,1.49536,2.66846,32.2446,15.4717,18,462.936,450.842,23.6301,26.3219,30.0001,26.2461,26.1795,20.0392,-30,-30,23.63,400,0,101.914,101.098,NA
2,1743702005,92.5,20250403 12:40:05,12:40:05,5,4781_mai_green,stan,1743701997,0.000248976,0.24897573,0.914399964,299.6055,181.1441488,16.35528069,27.05100926,0.013187742,2.840691615,0.013153824,0.00822418,49.61900148,25.08394374,24.08513333,3.010324929,42.60409788,1.342533678,3.15118438,1.667791252,-10.97982967,116.9999935,8.665439033,164.3046043,15,3,1,0,48040,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,300.0125333,252.9105286,0.842999877,0.165389762,2,0.5,0: Broadleaf,2,1743701997,299.6055,300.0011,14.86933333,14.77122333,300.2015,14.83233333,499.9972,90.18876333,0.09999727,24.84910333,24.08513333,999.9,0,0,9996.129,0,191.3051333,-0.448215767,304.0750333,304.4990333,0.100382257,300.0011,14.77122333,1.341251667,1.332198,11.26926333,11.16711667,300.0125333,0.900001967,0.0999979,0,2.19944,0,690.0784333,2812.513667,35.28306667,38.65806667,37.1122,37.83726667,35.52053333,270.0123333,30,0,1743702005,0,2.217419231,1.084953845,-5.6051282,690.0160769,15,1743702022,12:40:22,1743702021,1743702022,2,0.053,-0.001,-0.596,0.037,300,15,0.25,0.14,-0.4287865,-0.383294432,0.043199363,1,2.190876471,0.334368218,0.209087671,-1,0.10052498,-0.003811166,0.000760577,1,2,2,2-Feb,3.13487,2.76019,0.0722639,0.071542,0.0757887,0.0745975,29754.9,29735,29799.8,29586.1,36438.8,36289,41982.5,42047.8,1.91035,1.90683,0.0462495,0,23.3145,999.9,35.2,28,14.8104,61.9424,29.4191,1,-0.0963364,0.247985,20.4123,5.22912,12.011,4.9927,3.2896,9999,9999,9999,999.9,1.86707,1.86619,1.86557,1.86563,1.8674,1.86996,1.86859,1.87011,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-0.596,0.037,-0.01757406,-0.002150082,2.08E-07,-1.53E-10,-0.048818927,-0.002722057,0.000786767,-1.37E-05,4,2345,1,26,1.3,1.3,0.800781,2.26685,1.39648,2.35107,1.49536,2.63672,32.2446,15.4629,18,463.023,450.583,23.6298,26.3109,30.0002,26.2326,26.1664,16.0257,-30,-30,23.63,300,0,101.916,101.096,NA
3,1743702093,180.5,20250403 12:41:33,12:41:33,5,4781_mai_green,stan,1743702085,0.000250667,0.250667364,0.243444737,199.8773226,165.0559971,14.90186575,18.04566377,0.013317253,2.841621936,0.013282677,0.008304772,49.61982982,25.06469463,24.0675871,3.00715554,42.71121146,1.344404932,3.147662841,1.662750608,-11.05443076,116.8565987,8.650402476,164.0724002,15,3,1,0,48026,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,300.0159355,252.9135343,0.843000335,0.165390647,2,0.5,0: Broadleaf,2,1743702085,199.8773226,199.9947419,14.89089355,14.79211935,200.4213226,14.85389355,499.9984194,90.18371935,0.099978374,24.83037097,24.0675871,999.9,0,0,10002.39355,0,191.4932903,0.038122853,203.0569355,202.9974194,0.100532716,199.9947419,14.79211935,1.343074839,1.33400871,11.28974194,11.18758065,300.0159355,0.899983774,0.100016223,0,2.249125806,0,670.3958387,2812.527419,35.79,40.08445161,37.76796774,39.55829032,36.18919355,270.01,30.00483871,0,1743702093,0,2.232188462,0.15136069,-4.958188075,670.3787308,15,1743702110,12:41:49,1743702110,1743702109,3,-0.155,-0.001,-0.544,0.037,200,15,0.3,0.13,0.056567768,-0.355721656,0.04223164,1,2.2113,0.480855618,0.197633094,-1,0.100377648,0.006636803,0.000972366,1,2,2,2-Feb,3.13477,2.76041,0.0511265,0.0505618,0.0758734,0.0746858,30432.7,30406.4,29799.6,29585.6,36434.7,36284.9,41982.1,42047.5,1.90987,1.90618,0.0468083,0,23.3019,999.9,35.3,28,14.8554,61.9024,29.4591,1,-0.0973094,0.238943,20.4123,5.22747,12.0117,4.993,3.2899,9999,9999,9999,999.9,1.86707,1.86621,1.86562,1.86563,1.8674,1.86996,1.86859,1.87012,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-0.544,0.037,0.03523689,-0.002150082,2.08E-07,-1.53E-10,-0.049586326,-0.002722057,0.000786767,-1.37E-05,4,2345,1,26,1.2,1.2,0.5896,2.27661,1.39648,2.35107,1.49536,2.65625,32.2225,15.4542,18,462.642,450.078,23.63,26.2997,30.0001,26.2203,26.1533,11.8118,-30,-30,23.63,200,0,101.915,101.095,NA
4,1743702182,269.5,20250403 12:43:02,12:43:02,5,4781_mai_green,stan,1743702174,0.000261691,0.261691109,-0.253202491,100.0782667,125.8676874,11.36508096,9.036454282,0.013907032,2.842088936,0.013869336,0.008671713,49.61116675,25.08890409,24.08075667,3.009534096,42.72218603,1.346939886,3.15278784,1.662594209,-11.54057793,119.0341179,8.811943877,165.9166506,15,3,1,0,48046,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,299.9634,252.8692602,0.84300038,0.165390733,2,0.5,0: Broadleaf,2,1743702174,100.0782667,99.98746,14.91729,14.81417333,100.4722667,14.87829,499.9917,90.19391667,0.099956153,24.85762667,24.08075667,999.9,0,0,10004.12733,0,190.7712333,0.151092503,101.6548667,101.4909333,0.1025892,99.98746,14.81417333,1.345401667,1.336149333,11.31586667,11.21176,299.9634,0.899981233,0.100018863,0,2.244573333,0,651.6107,2812.029667,36.25826667,40.87486667,38.27893333,40.77473333,36.7122,269.962,30,0,1743702182,0,2.241148,-0.380730778,-2.941923074,651.58776,15,1743702206,12:43:26,1743702206,1743702198,4,-0.061,0.001,-0.394,0.039,100,15,0.23,0.09,0.176502603,-0.464510203,0.056558984,1,2.255905882,-0.179969445,0.214402767,-1,0.102490125,0.003319081,0.000855667,1,2,2,2-Feb,3.13487,2.76034,0.0267869,0.0264214,0.0759791,0.0747753,31215.7,31180.1,29801.8,29586.1,36432.8,36281.4,41985.2,42048.1,1.91007,1.90618,0.0471622,0,23.3094,999.9,35.3,28,14.8521,62.0325,29.3149,1,-0.0985213,0.239529,20.4123,5.22328,12.0107,4.9922,3.28978,9999,9999,9999,999.9,1.86708,1.86626,1.86567,1.86566,1.86741,1.86998,1.86859,1.87012,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-0.394,0.039,-0.119651094,-0.002150082,2.08E-07,-1.53E-10,-0.05014013,-0.002722057,0.000786767,-1.37E-05,4,2345,1,26,1.2,1.2,0.372314,2.32422,1.39648,2.35474,1.49536,2.56714,32.2005,15.4279,18,462.668,449.99,23.6302,26.2886,30.0001,26.2084,26.1423,7.44375,-30,-30,23.63,100,0,101.922,101.097,NA
5,1743702274,361,20250403 12:44:33,12:44:33,5,4781_mai_green,stan,1743702266,0.000256276,0.256276168,-0.361493553,50.14926667,90.49245936,8.170989103,4.528212785,0.013653129,2.842013994,0.013616795,0.008513753,49.61623183,25.11247102,24.06865333,3.007348052,42.72934756,1.34894226,3.156945605,1.658405792,-11.30177901,124.2690144,9.200183555,171.7836508,15,3,1,0,47928,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,299.9937333,252.8948562,0.843000463,0.165390894,2,0.5,0: Broadleaf,2,1743702266,50.14926667,50.00981333,14.93933,14.83835333,50.54626667,14.89933,500.0117,90.19470333,0.099992607,24.87971,24.06865333,999.9,0,0,10003.58033,0,191.8532333,0.2478995,51.01993333,50.76305667,0.10108886,50.00981333,14.83835333,1.347459,1.338341,11.33891333,11.23648,299.9937333,0.8999861,0.100014017,0,2.182586667,0,641.3978667,2812.321,36.6975,41.39773333,38.7395,41.6205,37.16426667,269.9896667,30.004,0,1743702273,0,2.184144,0.68343077,-3.303538455,641.37992,15,1743702290,12:44:50,1743702290,1743702290,5,-0.109,0.001,-0.397,0.04,50,15,0.25,0.09,0.273981756,-0.471266864,0.05201404,1,2.157558824,0.261295648,0.176078429,-1,0.101335068,-0.000628668,0.001077972,1,2,2,2-Feb,3.13486,2.76028,0.0135934,0.0133328,0.0760514,0.0748628,31639,31601,29801.8,29587.6,36429.5,36279.7,41985.1,42050.4,1.91025,1.90628,0.0466406,0,23.3015,999.9,35.3,28,14.8532,62.0825,29.4431,1,-0.0999594,0.238698,20.4122,5.22583,12.0101,4.99175,3.2899,9999,9999,9999,999.9,1.86707,1.86621,1.86563,1.86566,1.86737,1.86996,1.86859,1.87012,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-0.397,0.04,-0.180392378,-0.002150082,2.08E-07,-1.53E-10,-0.048758373,-0.002722057,0.000786767,-1.37E-05,4,2345,1,26,1.1,1.3,0.263672,2.33643,1.39648,2.35352,1.49536,2.65259,32.2005,15.4279,18,462.639,449.899,23.6299,26.2731,30,26.1917,26.1234,5.27965,-30,-30,23.63,50,0,101.922,101.102,NA
6,1743702370,457,20250403 12:46:09,12:46:09,5,4781_mai_green,stan,1743702362,0.000270438,0.270438157,1.946100929,399.1843,174.0199153,15.7123254,36.0425047,0.014414302,2.84096375,0.014373796,0.008987252,49.61832692,25.12952844,24.07850667,3.009127607,42.7530834,1.351364777,3.160859215,1.65776283,-11.92632273,125.8940896,9.325380633,172.9114744,15,3,1,0,48069,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,300.0024333,252.9025303,0.843001597,0.165393082,2,0.5,0: Broadleaf,2,1743702362,399.1843,400.0059,14.96687333,14.86032,399.9593,14.92487333,500.0135333,90.19035333,0.100033077,24.90047333,24.07850667,999.9,0,0,9997.621333,0,191.5571333,-1.172403667,404.8930333,406.0397333,0.105557067,400.0059,14.86032,1.349778333,1.340257667,11.36488333,11.25807333,300.0024333,0.8999515,0.100048467,0,2.197006667,0,687.0245667,2812.369667,36.48726667,39.97893333,38.39353333,39.93516667,36.51846667,269.9873333,30.01633333,0,1743702369,0,2.186416,-0.460584602,-3.396153848,687.00256,15,1743702388,12:46:27,1743702387,1743702388,6,0.352,0.002,-0.775,0.042,400,15,0.28,0.14,-1.201764146,0.486292474,0.057670069,1,2.184502941,0.031265098,0.238836297,-1,0.105731951,-0.003391944,0.001433252,1,2,2,2-Feb,3.13496,2.76026,0.0907462,0.0898985,0.0761515,0.0749433,29166.4,29149.9,29803.6,29588.6,36429.3,36279.5,41987.8,42052.2,1.91077,1.90768,0.0484511,0,23.2866,999.9,35.3,28,14.8536,61.8725,29.2308,1,-0.102157,0.239619,20.4105,5.22807,12.0099,4.9923,3.28973,9999,9999,9999,999.9,1.86708,1.86624,1.86563,1.86563,1.86739,1.86996,1.86859,1.87011,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-0.775,0.042,-0.289284134,-0.002150082,2.08E-07,-1.53E-10,-0.048164459,-0.002722057,0.000786767,-1.37E-05,4,2345,1,26,1.3,1.3,1.00098,2.28516,1.39648,2.35596,1.49536,2.51709,32.2005,15.4016,18,462.757,450.562,23.6301,26.2465,30.0001,26.167,26.0988,20.0435,-30,-30,23.63,400,0,101.929,101.106,NA
7,1743702449,536,20250403 12:47:28,12:47:28,5,4781_mai_green,stan,1743702441,0.000271916,0.271915879,1.634875822,399.2927419,209.086232,18.87585353,36.04728653,0.014483242,2.840917251,0.014442347,0.009030131,49.61977684,25.11456725,24.09304516,3.011755004,42.84596538,1.353123008,3.158110678,1.658631996,-11.99149026,121.432287,8.995024704,168.0555983,15,3,1,0,48034,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,300.0126452,252.911015,0.843001184,0.165392285,2,0.5,0: Broadleaf,2,1743702441,399.2927419,399.9900968,14.98842903,14.88129677,400.0727419,14.94642903,500.018,90.17784516,0.099995494,24.88589355,24.09304516,999.9,0,0,9998.722903,0,191.4176774,-0.690928839,405.3755484,406.0323226,0.108419097,399.9900968,14.88129677,1.35174,1.341964516,11.38681935,11.27725161,300.0126452,0.899966065,0.100033994,0,2.352819355,0,688.0962258,2812.477742,35.38877419,38.19332258,37.0803871,37.54416129,35.36664516,270.0006452,30.01322581,0,1743702449,0,2.334132,0.808746162,1.375076928,688.15436,15,1743702466,12:47:45,1743702465,1743702466,7,-0.005,0,-0.78,0.042,400,15,0.37,0.14,-0.6881844,-0.089449756,0.038037251,1,2.309508824,0.4965149,0.165649146,-1,0.10819215,0.003959505,0.000979113,1,2,2,2-Feb,3.1349,2.76026,0.0907513,0.0898886,0.0762223,0.0750102,29166.1,29151.3,29803.4,29589.7,36426,36278.1,41987.3,42053.7,1.91065,1.9077,0.0474453,0,23.3137,999.9,35.4,28,14.8977,61.8625,29.2668,1,-0.102904,0.246596,20.4107,5.22852,12.0104,4.9918,3.2899,9999,9999,9999,999.9,1.86707,1.86621,1.86563,1.86562,1.86737,1.86996,1.86859,1.8701,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-0.78,0.042,0.06318378,-0.002150082,2.08E-07,-1.53E-10,-0.046124698,-0.002722057,0.000786767,-1.37E-05,4,2345,1,26,1,1,1.00098,2.27295,1.39771,2.35229,1.49536,2.63672,32.2005,15.3929,18,462.564,450.472,23.6299,26.2332,30,26.1521,26.0857,20.042,-30,-30,23.63,400,0,101.928,101.11,NA
8,1743702540,627,20250403 12:48:59,12:48:59,5,4781_mai_green,stan,1743702532,0.000269277,0.269276775,2.97248599,598.7765806,254.5367617,22.97842074,54.05482536,0.014384437,2.840760878,0.014344094,0.008968674,49.61578188,25.06699876,24.07654194,3.008772694,43.02989893,1.355022567,3.149025679,1.653750127,-11.87510577,116.5603383,8.631792277,162.9328067,15,3,1,0,48052,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,299.9883548,252.8905499,0.843001223,0.16539236,2,0.5,0: Broadleaf,2,1743702532,598.7765806,600.0300645,15.00986774,14.90377419,599.7445806,14.97186774,500.0020645,90.17545161,0.099998548,24.83762258,24.07654194,999.9,0,0,9998.029355,0,191.4937419,-1.474763548,607.6799032,609.1079355,0.111848161,600.0300645,14.90377419,1.354040968,1.343954839,11.4125,11.29962581,299.9883548,0.89996429,0.100035658,0,2.347358065,0,725.6340968,2812.251613,35.59654839,39.59048387,37.526,38.87070968,35.93922581,269.9793548,30.01129032,0,1743702539,0,2.347411538,-0.612188032,8.932170946,725.6690769,15,1743702558,12:49:17,1743702558,1743702557,8,0.224,-0.005,-0.968,0.038,600,15,0.55,0.11,-1.495302683,0.438598328,0.057109431,1,2.329258824,-0.239804428,0.188211213,-1,0.112066902,-0.00464724,0.000691553,1,2,2,2-Feb,3.13492,2.76031,0.122144,0.121027,0.0763192,0.0751016,28159.5,28153.9,29803.6,29589.3,36423.2,36274.6,41987.9,42053.2,1.91072,1.90838,0.0467002,0,23.3148,999.9,35.4,28,14.8976,62.2125,29.2628,1,-0.103587,0.240746,20.4122,5.22373,12.0107,4.99265,3.28993,9999,9999,9999,999.9,1.86707,1.8662,1.86565,1.86565,1.86739,1.86996,1.86859,1.87011,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-0.968,0.038,0.058486454,-0.002150082,2.08E-07,-1.53E-10,-0.04596399,-0.002722057,0.000786767,-1.37E-05,4,2345,1,26,1.2,1.2,1.37695,2.27051,1.39648,2.35229,1.49536,2.51709,32.2005,15.3841,18,462.527,450.8,23.6299,26.2244,30,26.1418,26.0748,27.566,-30,-30,23.63,600,0,101.929,101.109,NA
9,1743702631,718.5,20250403 12:50:31,12:50:31,5,4781_mai_green,stan,1743702623,0.000272115,0.272114663,3.804323164,798.3992667,362.6754871,32.73815929,72.07027576,0.014585276,2.841190662,0.014543808,0.009093596,49.6179632,25.06201395,24.05493,3.004871091,43.0956041,1.356750967,3.148235174,1.648120124,-12.00025666,119.2441276,8.828053803,165.689888,15,3,1,0,47981,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,300.0037,252.9033011,0.843000607,0.165391171,2,0.5,0: Broadleaf,2,1743702623,798.3992667,800.0079,15.03017667,14.92296667,799.4422667,14.99317667,499.9995,90.16845333,0.100011037,24.83341667,24.05493,999.9,0,0,10001.44133,0,188.6344333,-1.947138667,810.2406667,812.1273,0.1095324,800.0079,14.92296667,1.355456333,1.345580333,11.42827667,11.31786,300.0037,0.899983867,0.100016193,0,2.277003333,0,768.7850667,2812.411,36.0872,40.58726667,38.083,40.3248,36.51646667,269.9993333,30.00666667,0,1743702631,0,2.268152,-0.038430765,10.23176924,768.86696,15,1743702654,12:50:54,1743702654,1743702648,9,0.343,-0.001,-1.043,0.037,800,15,0.34,0.13,-1.97787275,0.49456334,0.093068826,1,2.274823529,-0.341103129,0.208851908,-1,0.1089944,0.006935482,0.001198857,1,2,2,2-Feb,3.13493,2.76018,0.148634,0.147317,0.0763932,0.0751538,27310.8,27313.3,29804.4,29590.6,36422,36274.6,41989.4,42055,1.91115,1.9087,0.0462458,0,23.2945,999.9,35.4,28,14.9,62.0725,29.2628,1,-0.103946,0.228513,20.412,5.22493,12.0108,4.9919,3.28973,9999,9999,9999,999.9,1.86707,1.86622,1.86567,1.86566,1.86741,1.86996,1.86859,1.87012,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-1.043,0.037,0.282779481,-0.002150082,2.08E-07,-1.53E-10,-0.050649888,-0.002722057,0.000786767,-1.37E-05,4,2345,1,26,1.2,1.2,1.73096,2.2644,1.39771,2.35596,1.49536,2.49634,32.2005,15.3666,18,462.73,450.947,23.6299,26.2222,30,26.1355,26.0683,34.6585,-30,-30,23.63,800,0,101.932,101.113,NA
10,1743702735,822,20250403 12:52:14,12:52:14,5,4781_mai_green,stan,1743702727,0.000287809,0.287808525,4.411977874,998.1253333,516.8720228,46.65908915,90.10280468,0.015432874,2.84173949,0.015386463,0.009620697,49.6155472,25.07227088,24.04106333,3.002370072,42.98850231,1.354552643,3.150964955,1.647817429,-12.69235595,123.6161087,9.14999046,169.6892904,15,3,1,0,48002,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,299.9943667,252.8949811,0.8429991,0.165388263,2,0.5,0: Broadleaf,2,1743702727,998.1253333,1000.004933,15.00523,14.89184,999.4563333,14.96823,500.0262667,90.17203667,0.09999799,24.84793667,24.04106333,999.9,0,0,10004.41067,0,191.9340333,-2.017244667,1013.192667,1015.121333,0.114698333,1000.004933,14.89184,1.353170667,1.342827,11.40278333,11.28696,299.9943667,0.900018267,0.09998192,0,2.167733333,0,814.3803333,2812.355667,36.6019,41.26446667,38.62076667,41.4039,37.05166667,270,29.99,0,1743702734,0,2.192792,-0.115761537,10.62353845,814.45056,15,1743702763,12:52:43,1743702763,1743702752,10,0.143,0,-1.331,0.037,1000,15,0.48,0.11,-2.036614878,0.355685854,0.096314261,1,2.224911765,-0.530383499,0.214066044,-1,0.114667585,0.004450223,0.001251728,1,2,2,2-Feb,3.13492,2.76027,0.172001,0.170469,0.0762749,0.0750302,26561.4,26572.8,29804.1,29591.4,36426.2,36281.2,41988.4,42056.4,1.91153,1.90933,0.0478178,0,23.2509,999.9,35.4,28,14.9014,62.0025,29.2508,1,-0.104842,0.214651,20.4121,5.22702,12.011,4.9922,3.2895,9999,9999,9999,999.9,1.86708,1.86619,1.86563,1.86566,1.86739,1.86996,1.86859,1.87011,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-1.331,0.037,0.625570833,-0.002150082,2.08E-07,-1.53E-10,-0.051366763,-0.002722057,0.000786767,-1.37E-05,4,2345,1,26,1.3,1.4,2.06909,2.25586,1.39648,2.35474,1.49536,2.48779,32.2005,15.3491,18,462.876,451.245,23.6301,26.2118,30,26.1258,26.0574,41.4249,-30,-30,23.63,1000,0,101.93,101.116,NA
