flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251210141746_ddb,14:17:46,2025-12-10,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,86.592247,82.636711,0.045680,185.654175

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,84.521774,6995.495117,1
0.010000,85.509895,6995.495117,1
0.020000,85.821388,6995.495117,1
0.030000,85.980179,6995.495117,1
0.040000,86.100342,6995.495117,1
0.050000,86.174728,6995.495117,1
0.060000,86.226585,6995.495117,1
0.070000,86.274864,6995.495117,1
0.080000,86.313126,6995.495117,1
0.090000,86.348892,6995.495117,1
0.100000,86.357475,6995.495117,1
0.110000,86.379646,6995.495117,1
0.120000,86.393234,6995.495117,1
0.130000,86.398605,6995.495117,1
0.140000,86.388947,6995.495117,1
0.150000,86.401459,6995.495117,1
0.160000,86.408974,6995.495117,1
0.170000,86.398605,6995.495117,1
0.180000,86.399315,6995.495117,1
0.190000,86.410049,6995.495117,1
0.200000,86.409691,6995.495117,1
0.210000,86.393951,6995.495117,1
0.220000,86.398605,6995.495117,1
0.230000,86.397171,6995.495117,1
0.240000,86.397171,6995.495117,1
0.250000,86.383224,6995.495117,1
0.260000,86.382149,6995.495117,1
0.270000,86.381790,6995.495117,1
0.280000,86.374641,6995.495117,1
0.290000,86.372139,6995.495117,1
0.300000,86.372849,6937.205566,2
0.310000,86.369995,6878.916016,2
0.320000,86.358902,6820.626465,2
0.330000,86.345673,6762.336914,2
0.340000,86.351395,6704.047363,2
0.350000,86.350319,6645.757812,2
0.360000,86.346748,6587.468262,2
0.370000,86.331367,6529.178711,2
0.380000,86.324928,6470.889160,2
0.390000,86.360336,6412.599609,2
0.400000,86.329941,6354.310059,2
0.410000,86.315987,6296.020508,2
0.420000,86.339951,6237.730957,2
0.430000,86.313484,6179.441406,2
0.440000,86.312775,6121.151855,2
0.450000,86.318497,6062.862305,2
0.460000,86.322426,6004.572754,2
0.470000,86.299538,5946.283203,2
0.480000,86.306335,5887.993652,2
0.490000,86.304543,5829.704102,2
0.500000,86.321350,5771.414551,2
0.510000,86.319206,5713.125000,2
0.520000,86.300255,5654.835449,2
0.530000,86.292389,5596.545898,2
0.540000,86.301682,5538.256348,2
0.550000,86.351753,5479.966797,2
0.560000,86.352829,5421.677246,2
0.570000,86.290596,5363.387695,2
0.580000,86.249832,5305.098145,2
0.590000,86.245178,5246.808594,2
0.600000,86.119652,6995.495117,3
0.610000,86.123230,6995.495117,3
0.620000,86.120010,6995.495117,3
0.630000,86.105705,6995.495117,3
0.640000,86.092117,6995.495117,3
0.650000,86.092827,6995.495117,3
0.660000,86.088181,6995.495117,3
0.670000,86.090324,6995.495117,3
0.680000,86.068871,6995.495117,3
0.690000,86.078171,6995.495117,3
0.700000,86.056351,6995.495117,3
0.710000,86.037041,6995.495117,3
0.720000,86.020233,6995.495117,3
0.730000,85.995193,6995.495117,3
0.740000,85.959076,6995.495117,3
0.750000,85.905434,6995.495117,3
0.760000,85.863586,6995.495117,3
0.770000,85.814957,6995.495117,3
0.780000,85.777405,6995.495117,3
0.790000,85.731270,6995.495117,3
0.800000,85.704445,6995.495117,3
0.810000,85.666534,6995.495117,3
0.820000,85.633995,6995.495117,3
0.830000,85.588928,6995.495117,3
0.839999,85.548874,6995.495117,3
0.849999,85.500595,6995.495117,3
0.859999,85.476997,6995.495117,3
0.869999,85.432648,6995.495117,3
0.879999,85.405823,6995.495117,3
0.889999,85.386871,6995.495117,3
