flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251210141804_b10,14:18:04,2025-12-10,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,276.237946,127.116325,0.539830,244.310226

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,196.225769,6995.495117,1
0.010000,230.563400,6995.495117,1
0.020000,245.872025,6995.495117,1
0.030000,256.693848,6995.495117,1
0.040000,263.214813,6995.495117,1
0.050000,266.885864,6995.495117,1
0.060000,268.961914,6995.495117,1
0.070000,270.081268,6995.495117,1
0.080000,270.716064,6995.495117,1
0.090000,271.062622,6995.495117,1
0.100000,271.276489,6995.495117,1
0.110000,271.339783,6995.495117,1
0.120000,271.399139,6995.495117,1
0.130000,271.425598,6995.495117,1
0.140000,271.433838,6995.495117,1
0.150000,271.445282,6995.495117,1
0.160000,271.410950,6995.495117,1
0.170000,271.389496,6995.495117,1
0.180000,271.365173,6995.495117,1
0.190000,271.332977,6995.495117,1
0.200000,271.322601,6995.495117,1
0.210000,271.258942,6995.495117,1
0.220000,271.237122,6995.495117,1
0.230000,271.202789,6995.495117,1
0.240000,271.153809,6995.495117,1
0.250000,271.108734,6995.495117,1
0.260000,271.074402,6995.495117,1
0.270000,271.052948,6995.495117,1
0.280000,271.013611,6995.495117,1
0.290000,270.991455,6995.495117,1
0.300000,270.995728,6937.205566,2
0.310000,270.916687,6878.916016,2
0.320000,270.869141,6820.626465,2
0.330000,270.818726,6762.336914,2
0.340000,270.767578,6704.047363,2
0.350000,270.718567,6645.757812,2
0.360000,270.671722,6587.468262,2
0.370000,270.599121,6529.178711,2
0.380000,270.585175,6470.889160,2
0.390000,270.489349,6412.599609,2
0.400000,270.438202,6354.310059,2
0.410000,270.400635,6296.020508,2
0.420000,270.305511,6237.730957,2
0.430000,270.297302,6179.441406,2
0.440000,270.204315,6121.151855,2
0.450000,270.146362,6062.862305,2
0.460000,270.099518,6004.572754,2
0.470000,270.049103,5946.283203,2
0.480000,269.962921,5887.993652,2
0.490000,269.934998,5829.704102,2
0.500000,269.887085,5771.414551,2
0.510000,269.790894,5713.125000,2
0.520000,269.767639,5654.835449,2
0.530000,269.699707,5596.545898,2
0.540000,269.626373,5538.256348,2
0.550000,269.494415,5479.966797,2
0.560000,269.487976,5421.677246,2
0.570000,269.423615,5363.387695,2
0.580000,269.319519,5305.098145,2
0.590000,269.259094,5246.808594,2
0.600000,270.009766,6995.495117,3
0.610000,270.191803,6995.495117,3
0.620000,270.198578,6995.495117,3
0.630000,270.197510,6995.495117,3
0.640000,270.153168,6995.495117,3
0.650000,270.117767,6995.495117,3
0.660000,270.062317,6995.495117,3
0.670000,270.010834,6995.495117,3
0.680000,269.972565,6995.495117,3
0.690000,269.939301,6995.495117,3
0.700000,269.907104,6995.495117,3
0.710000,269.854187,6995.495117,3
0.720000,269.821991,6995.495117,3
0.730000,269.768707,6995.495117,3
0.740000,269.713287,6995.495117,3
0.750000,269.671448,6995.495117,3
0.760000,269.634949,6995.495117,3
0.770000,269.594177,6995.495117,3
0.780000,269.541626,6995.495117,3
0.790000,269.487274,6995.495117,3
0.800000,269.449707,6995.495117,3
0.810000,269.365662,6995.495117,3
0.820000,269.313110,6995.495117,3
0.830000,269.270538,6995.495117,3
0.839999,269.214020,6995.495117,3
0.849999,269.149292,6995.495117,3
0.859999,269.096375,6995.495117,3
0.869999,269.042023,6995.495117,3
0.879999,268.994446,6995.495117,3
0.889999,268.901123,6995.495117,3
