flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251210142856_bfc,14:28:56,2025-12-10,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,99.605659,95.826744,0.037939,155.026932

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,97.415688,6995.495117,1
0.010000,98.402382,6995.495117,1
0.020000,98.725677,6995.495117,1
0.030000,98.923805,6995.495117,1
0.040000,99.045753,6995.495117,1
0.050000,99.126221,6995.495117,1
0.060000,99.189522,6995.495117,1
0.070000,99.228500,6995.495117,1
0.080000,99.269630,6995.495117,1
0.090000,99.302887,6995.495117,1
0.100000,99.326492,6995.495117,1
0.110000,99.334000,6995.495117,1
0.120000,99.351524,6995.495117,1
0.130000,99.368332,6995.495117,1
0.140000,99.372269,6995.495117,1
0.150000,99.375130,6995.495117,1
0.160000,99.386574,6995.495117,1
0.170000,99.394440,6995.495117,1
0.180000,99.388359,6995.495117,1
0.190000,99.396942,6995.495117,1
0.200000,99.391220,6995.495117,1
0.210000,99.371193,6995.495117,1
0.220000,99.378349,6995.495117,1
0.230000,99.365112,6995.495117,1
0.240000,99.359749,6995.495117,1
0.250000,99.348305,6995.495117,1
0.260000,99.343300,6995.495117,1
0.270000,99.347237,6995.495117,1
0.280000,99.325058,6995.495117,1
0.290000,99.325058,6995.495117,1
0.300000,99.324348,6937.205566,2
0.310000,99.317909,6878.916016,2
0.320000,99.322556,6820.626465,2
0.330000,99.336861,6762.336914,2
0.340000,99.312187,6704.047363,2
0.350000,99.320770,6645.757812,2
0.360000,99.327919,6587.468262,2
0.370000,99.326851,6529.178711,2
0.380000,99.325775,6470.889160,2
0.390000,99.305748,6412.599609,2
0.400000,99.321838,6354.310059,2
0.410000,99.307892,6296.020508,2
0.420000,99.285004,6237.730957,2
0.430000,99.323631,6179.441406,2
0.440000,99.293587,6121.151855,2
0.450000,99.307182,6062.862305,2
0.460000,99.294304,6004.572754,2
0.470000,99.260330,5946.283203,2
0.480000,99.267838,5887.993652,2
0.490000,99.282143,5829.704102,2
0.500000,99.296806,5771.414551,2
0.510000,99.285362,5713.125000,2
0.520000,99.257111,5654.835449,2
0.530000,99.268913,5596.545898,2
0.540000,99.281784,5538.256348,2
0.550000,99.316116,5479.966797,2
0.560000,99.218842,5421.677246,2
0.570000,99.274277,5363.387695,2
0.580000,99.202034,5305.098145,2
0.590000,99.249962,5246.808594,2
0.600000,99.104401,6995.495117,3
0.610000,99.095825,6995.495117,3
0.620000,99.082947,6995.495117,3
0.630000,99.081161,6995.495117,3
0.640000,99.074722,6995.495117,3
0.650000,99.062202,6995.495117,3
0.660000,99.048256,6995.495117,3
0.670000,99.035385,6995.495117,3
0.680000,99.018570,6995.495117,3
0.690000,99.011780,6995.495117,3
0.700000,98.995682,6995.495117,3
0.710000,98.988892,6995.495117,3
0.720000,98.972443,6995.495117,3
0.730000,98.972084,6995.495117,3
0.740000,98.963501,6995.495117,3
0.750000,98.953842,6995.495117,3
0.760000,98.943474,6995.495117,3
0.770000,98.933456,6995.495117,3
0.780000,98.927734,6995.495117,3
0.790000,98.913429,6995.495117,3
0.800000,98.915932,6995.495117,3
0.810000,98.902702,6995.495117,3
0.820000,98.885536,6995.495117,3
0.830000,98.873734,6995.495117,3
0.839999,98.867294,6995.495117,3
0.849999,98.863724,6995.495117,3
0.859999,98.845482,6995.495117,3
0.869999,98.819016,6995.495117,3
0.879999,98.817947,6995.495117,3
0.889999,98.795059,6995.495117,3
