flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251211141256_bc2,14:12:56,2025-12-11,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,264.470032,112.486481,0.574672,216.222565

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,181.410675,6995.495117,1
0.010000,218.899368,6995.495117,1
0.020000,238.112213,6995.495117,1
0.030000,249.170059,6995.495117,1
0.040000,254.749054,6995.495117,1
0.050000,257.647980,6995.495117,1
0.060000,259.239075,6995.495117,1
0.070000,260.176788,6995.495117,1
0.080000,260.748993,6995.495117,1
0.090000,261.099823,6995.495117,1
0.100000,261.405579,6995.495117,1
0.110000,261.567596,6995.495117,1
0.120000,261.708130,6995.495117,1
0.130000,261.845123,6995.495117,1
0.140000,261.953827,6995.495117,1
0.150000,262.033234,6995.495117,1
0.160000,262.088287,6995.495117,1
0.170000,262.164825,6995.495117,1
0.180000,262.245300,6995.495117,1
0.190000,262.271393,6995.495117,1
0.200000,262.338287,6995.495117,1
0.210000,262.362946,6995.495117,1
0.220000,262.401947,6995.495117,1
0.230000,262.428040,6995.495117,1
0.240000,262.439117,6995.495117,1
0.250000,262.468109,6995.495117,1
0.260000,262.501007,6995.495117,1
0.270000,262.526764,6995.495117,1
0.280000,262.537109,6995.495117,1
0.290000,262.542847,6995.495117,1
0.300000,262.577545,6937.205566,2
0.310000,262.563934,6878.916016,2
0.320000,262.580383,6820.626465,2
0.330000,262.586487,6762.336914,2
0.340000,262.576813,6704.047363,2
0.350000,262.587555,6645.757812,2
0.360000,262.588989,6587.468262,2
0.370000,262.568939,6529.178711,2
0.380000,262.559662,6470.889160,2
0.390000,262.535339,6412.599609,2
0.400000,262.555359,6354.310059,2
0.410000,262.527466,6296.020508,2
0.420000,262.504944,6237.730957,2
0.430000,262.508148,6179.441406,2
0.440000,262.502075,6121.151855,2
0.450000,262.446655,6062.862305,2
0.460000,262.436981,6004.572754,2
0.470000,262.448792,5946.283203,2
0.480000,262.384766,5887.993652,2
0.490000,262.371552,5829.704102,2
0.500000,262.379059,5771.414551,2
0.510000,262.298584,5713.125000,2
0.520000,262.289642,5654.835449,2
0.530000,262.267120,5596.545898,2
0.540000,262.231354,5538.256348,2
0.550000,262.117981,5479.966797,2
0.560000,262.076141,5421.677246,2
0.570000,262.120850,5363.387695,2
0.580000,262.064331,5305.098145,2
0.590000,262.024628,5246.808594,2
0.600000,262.437714,6995.495117,3
0.610000,262.567505,6995.495117,3
0.620000,262.575043,6995.495117,3
0.630000,262.532837,6995.495117,3
0.640000,262.496704,6995.495117,3
0.650000,262.445221,6995.495117,3
0.660000,262.403015,6995.495117,3
0.670000,262.376556,6995.495117,3
0.680000,262.326111,6995.495117,3
0.690000,262.286438,6995.495117,3
0.700000,262.278564,6995.495117,3
0.710000,262.231354,6995.495117,3
0.720000,262.213104,6995.495117,3
0.730000,262.188080,6995.495117,3
0.740000,262.140869,6995.495117,3
0.750000,262.088654,6995.495117,3
0.760000,262.075073,6995.495117,3
0.770000,262.040741,6995.495117,3
0.780000,261.985291,6995.495117,3
0.790000,261.940613,6995.495117,3
0.800000,261.926300,6995.495117,3
0.810000,261.870850,6995.495117,3
0.820000,261.827240,6995.495117,3
0.830000,261.790741,6995.495117,3
0.839999,261.734253,6995.495117,3
0.849999,261.694183,6995.495117,3
0.859999,261.647705,6995.495117,3
0.869999,261.613373,6995.495117,3
0.879999,261.561523,6995.495117,3
0.889999,261.521088,6995.495117,3
