flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251211142018_80d,14:20:18,2025-12-11,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,121.220749,121.303436,-0.000682,186.153900

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,120.338203,6995.495117,1
0.010000,120.473389,6995.495117,1
0.020000,120.607140,6995.495117,1
0.030000,120.681168,6995.495117,1
0.040000,120.741608,6995.495117,1
0.050000,120.784164,6995.495117,1
0.060000,120.815636,6995.495117,1
0.070000,120.833519,6995.495117,1
0.080000,120.859619,6995.495117,1
0.090000,120.871422,6995.495117,1
0.100000,120.891808,6995.495117,1
0.110000,120.874641,6995.495117,1
0.120000,120.874641,6995.495117,1
0.130000,120.895744,6995.495117,1
0.140000,120.891808,6995.495117,1
0.150000,120.886086,6995.495117,1
0.160000,120.873573,6995.495117,1
0.170000,120.860336,6995.495117,1
0.180000,120.882507,6995.495117,1
0.190000,120.868561,6995.495117,1
0.200000,120.865700,6995.495117,1
0.210000,120.846390,6995.495117,1
0.220000,120.848534,6995.495117,1
0.230000,120.839241,6995.495117,1
0.240000,120.839600,6995.495117,1
0.250000,120.836731,6995.495117,1
0.260000,120.834229,6995.495117,1
0.270000,120.816353,6995.495117,1
0.280000,120.808121,6995.495117,1
0.290000,120.793106,6995.495117,1
0.300000,120.811340,6937.205566,2
0.310000,120.817780,6878.916016,2
0.320000,120.805977,6820.626465,2
0.330000,120.806694,6762.336914,2
0.340000,120.808121,6704.047363,2
0.350000,120.804192,6645.757812,2
0.360000,120.799187,6587.468262,2
0.370000,120.792030,6529.178711,2
0.380000,120.784882,6470.889160,2
0.390000,120.769859,6412.599609,2
0.400000,120.795967,6354.310059,2
0.410000,120.778084,6296.020508,2
0.420000,120.746613,6237.730957,2
0.430000,120.761276,6179.441406,2
0.440000,120.787025,6121.151855,2
0.450000,120.777725,6062.862305,2
0.460000,120.779510,6004.572754,2
0.470000,120.804192,5946.283203,2
0.480000,120.782021,5887.993652,2
0.490000,120.768784,5829.704102,2
0.500000,120.792389,5771.414551,2
0.510000,120.779510,5713.125000,2
0.520000,120.771645,5654.835449,2
0.530000,120.775223,5596.545898,2
0.540000,120.807770,5538.256348,2
0.550000,120.880722,5479.966797,2
0.560000,120.690109,5421.677246,2
0.570000,120.797394,5363.387695,2
0.580000,120.586754,5305.098145,2
0.590000,120.448349,5246.808594,2
0.600000,120.521667,6995.495117,3
0.610000,120.495918,6995.495117,3
0.620000,120.488045,6995.495117,3
0.630000,120.457649,6995.495117,3
0.640000,120.455505,6995.495117,3
0.650000,120.442986,6995.495117,3
0.660000,120.445488,6995.495117,3
0.670000,120.437263,6995.495117,3
0.680000,120.422241,6995.495117,3
0.690000,120.414017,6995.495117,3
0.700000,120.406151,6995.495117,3
0.710000,120.391129,6995.495117,3
0.720000,120.373962,6995.495117,3
0.730000,120.381477,6995.495117,3
0.740000,120.358948,6995.495117,3
0.750000,120.346069,6995.495117,3
0.760000,120.322105,6995.495117,3
0.770000,120.324615,6995.495117,3
0.780000,120.321037,6995.495117,3
0.790000,120.279549,6995.495117,3
0.800000,120.279549,6995.495117,3
0.810000,120.256302,6995.495117,3
0.820000,120.250229,6995.495117,3
0.830000,120.244507,6995.495117,3
0.839999,120.233772,6995.495117,3
0.849999,120.208382,6995.495117,3
0.859999,120.195862,6995.495117,3
0.869999,120.195511,6995.495117,3
0.879999,120.177628,6995.495117,3
0.889999,120.180847,6995.495117,3
