flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251212135554_9e7,13:55:54,2025-12-12,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,365.091919,128.873703,0.647010,145.914581

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,231.313705,6995.495117,1
0.010000,293.657196,6995.495117,1
0.020000,323.868164,6995.495117,1
0.030000,343.291992,6995.495117,1
0.040000,354.276184,6995.495117,1
0.050000,359.998230,6995.495117,1
0.060000,362.829224,6995.495117,1
0.070000,364.083405,6995.495117,1
0.080000,364.611267,6995.495117,1
0.090000,364.795441,6995.495117,1
0.100000,364.852295,6995.495117,1
0.110000,364.805450,6995.495117,1
0.120000,364.781860,6995.495117,1
0.130000,364.799011,6995.495117,1
0.140000,364.800110,6995.495117,1
0.150000,364.801880,6995.495117,1
0.160000,364.814056,6995.495117,1
0.170000,364.842285,6995.495117,1
0.180000,364.841949,6995.495117,1
0.190000,364.869476,6995.495117,1
0.200000,364.904175,6995.495117,1
0.210000,364.885223,6995.495117,1
0.220000,364.910614,6995.495117,1
0.230000,364.932770,6995.495117,1
0.240000,364.950287,6995.495117,1
0.250000,364.978912,6995.495117,1
0.260000,365.014313,6995.495117,1
0.270000,365.033630,6995.495117,1
0.280000,365.042572,6995.495117,1
0.290000,365.091919,6995.495117,1
0.300000,365.154510,6937.205566,2
0.310000,365.149841,6878.916016,2
0.320000,365.175232,6820.626465,2
0.330000,365.190613,6762.336914,2
0.340000,365.228180,6704.047363,2
0.350000,365.272156,6645.757812,2
0.360000,365.332947,6587.468262,2
0.370000,365.356567,6529.178711,2
0.380000,365.389832,6470.889160,2
0.390000,365.413422,6412.599609,2
0.400000,365.442047,6354.310059,2
0.410000,365.474579,6296.020508,2
0.420000,365.519287,6237.730957,2
0.430000,365.539673,6179.441406,2
0.440000,365.560425,6121.151855,2
0.450000,365.558624,6062.862305,2
0.460000,365.622986,6004.572754,2
0.470000,365.623718,5946.283203,2
0.480000,365.621216,5887.993652,2
0.490000,365.662323,5829.704102,2
0.500000,365.699158,5771.414551,2
0.510000,365.667694,5713.125000,2
0.520000,365.684875,5654.835449,2
0.530000,365.683807,5596.545898,2
0.540000,365.645538,5538.256348,2
0.550000,365.632660,5479.966797,2
0.560000,365.640533,5421.677246,2
0.570000,365.658051,5363.387695,2
0.580000,365.597595,5305.098145,2
0.590000,365.596527,5246.808594,2
0.600000,366.128326,6995.495117,3
0.610000,366.290344,6995.495117,3
0.620000,366.278534,6995.495117,3
0.630000,366.203430,6995.495117,3
0.640000,366.141907,6995.495117,3
0.650000,366.043915,6995.495117,3
0.660000,365.975250,6995.495117,3
0.670000,365.903748,6995.495117,3
0.680000,365.827209,6995.495117,3
0.690000,365.726715,6995.495117,3
0.700000,365.677704,6995.495117,3
0.710000,365.570770,6995.495117,3
0.720000,365.492096,6995.495117,3
0.730000,365.382660,6995.495117,3
0.740000,365.276825,6995.495117,3
0.750000,365.183105,6995.495117,3
0.760000,365.067963,6995.495117,3
0.770000,364.976776,6995.495117,3
0.780000,364.844452,6995.495117,3
0.790000,364.775421,6995.495117,3
0.800000,364.661682,6995.495117,3
0.810000,364.520416,6995.495117,3
0.820000,364.388458,6995.495117,3
0.830000,364.271515,6995.495117,3
0.839999,364.157806,6995.495117,3
0.849999,364.000427,6995.495117,3
0.859999,363.855591,6995.495117,3
0.869999,363.701813,6995.495117,3
0.879999,363.557709,6995.495117,3
0.889999,363.388184,6995.495117,3
