flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251212135750_bff,13:57:50,2025-12-12,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,243.248383,144.618988,0.405468,194.255676

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,200.152878,6995.495117,1
0.010000,221.131683,6995.495117,1
0.020000,227.756027,6995.495117,1
0.030000,231.858368,6995.495117,1
0.040000,234.499817,6995.495117,1
0.050000,236.279724,6995.495117,1
0.060000,237.589005,6995.495117,1
0.070000,238.555664,6995.495117,1
0.080000,239.335663,6995.495117,1
0.090000,239.930389,6995.495117,1
0.100000,240.476486,6995.495117,1
0.110000,240.882751,6995.495117,1
0.120000,241.256836,6995.495117,1
0.130000,241.550797,6995.495117,1
0.140000,241.800430,6995.495117,1
0.150000,242.020721,6995.495117,1
0.160000,242.164856,6995.495117,1
0.170000,242.314331,6995.495117,1
0.180000,242.410538,6995.495117,1
0.190000,242.555023,6995.495117,1
0.200000,242.648361,6995.495117,1
0.210000,242.741699,6995.495117,1
0.220000,242.839340,6995.495117,1
0.230000,242.903717,6995.495117,1
0.240000,242.978088,6995.495117,1
0.250000,243.026016,6995.495117,1
0.260000,243.098969,6995.495117,1
0.270000,243.124725,6995.495117,1
0.280000,243.160492,6995.495117,1
0.290000,243.217346,6995.495117,1
0.300000,243.251678,6937.205566,2
0.310000,243.303894,6878.916016,2
0.320000,243.345383,6820.626465,2
0.330000,243.392227,6762.336914,2
0.340000,243.412964,6704.047363,2
0.350000,243.475204,6645.757812,2
0.360000,243.496292,6587.468262,2
0.370000,243.507034,6529.178711,2
0.380000,243.563171,6470.889160,2
0.390000,243.574982,6412.599609,2
0.400000,243.626480,6354.310059,2
0.410000,243.626114,6296.020508,2
0.420000,243.645065,6237.730957,2
0.430000,243.659027,6179.441406,2
0.440000,243.657593,6121.151855,2
0.450000,243.648285,6062.862305,2
0.460000,243.650436,6004.572754,2
0.470000,243.593933,5946.283203,2
0.480000,243.559952,5887.993652,2
0.490000,243.552444,5829.704102,2
0.500000,243.550293,5771.414551,2
0.510000,243.525620,5713.125000,2
0.520000,243.540649,5654.835449,2
0.530000,243.515610,5596.545898,2
0.540000,243.514175,5538.256348,2
0.550000,243.499161,5479.966797,2
0.560000,243.479492,5421.677246,2
0.570000,243.448730,5363.387695,2
0.580000,243.422989,5305.098145,2
0.590000,243.456955,5246.808594,2
0.600000,243.729477,6995.495117,3
0.610000,243.890045,6995.495117,3
0.620000,243.986252,6995.495117,3
0.630000,244.020218,6995.495117,3
0.640000,244.014862,6995.495117,3
0.650000,244.005203,6995.495117,3
0.660000,243.990906,6995.495117,3
0.670000,243.952637,6995.495117,3
0.680000,243.919373,6995.495117,3
0.690000,243.844269,6995.495117,3
0.700000,243.798141,6995.495117,3
0.710000,243.708374,6995.495117,3
0.720000,243.682617,6995.495117,3
0.730000,243.639343,6995.495117,3
0.740000,243.595001,6995.495117,3
0.750000,243.613602,6995.495117,3
0.760000,243.655807,6995.495117,3
0.770000,243.640778,6995.495117,3
0.780000,243.630768,6995.495117,3
0.790000,243.608231,6995.495117,3
0.800000,243.624695,6995.495117,3
0.810000,243.561035,6995.495117,3
0.820000,243.543869,6995.495117,3
0.830000,243.519897,6995.495117,3
0.839999,243.471268,6995.495117,3
0.849999,243.389374,6995.495117,3
0.859999,243.341797,6995.495117,3
0.869999,243.301392,6995.495117,3
0.879999,243.306763,6995.495117,3
0.889999,243.271347,6995.495117,3
