flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251212140606_f63,14:06:06,2025-12-12,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,284.693726,165.798065,0.417627,171.225708

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,218.981979,6995.495117,1
0.010000,249.501587,6995.495117,1
0.020000,260.666718,6995.495117,1
0.030000,267.746338,6995.495117,1
0.040000,272.396576,6995.495117,1
0.050000,275.550140,6995.495117,1
0.060000,277.715912,6995.495117,1
0.070000,279.214386,6995.495117,1
0.080000,280.276550,6995.495117,1
0.090000,281.035767,6995.495117,1
0.100000,281.558990,6995.495117,1
0.110000,281.915558,6995.495117,1
0.120000,282.199493,6995.495117,1
0.130000,282.416931,6995.495117,1
0.140000,282.532440,6995.495117,1
0.150000,282.624359,6995.495117,1
0.160000,282.717346,6995.495117,1
0.170000,282.784576,6995.495117,1
0.180000,282.825714,6995.495117,1
0.190000,282.864685,6995.495117,1
0.200000,282.913696,6995.495117,1
0.210000,282.911194,6995.495117,1
0.220000,282.956238,6995.495117,1
0.230000,282.973419,6995.495117,1
0.240000,282.982697,6995.495117,1
0.250000,282.989868,6995.495117,1
0.260000,282.999512,6995.495117,1
0.270000,283.013458,6995.495117,1
0.280000,283.005585,6995.495117,1
0.290000,283.013458,6995.495117,1
0.300000,283.030975,6937.205566,2
0.310000,283.017761,6878.916016,2
0.320000,283.009186,6820.626465,2
0.330000,283.020630,6762.336914,2
0.340000,283.003815,6704.047363,2
0.350000,283.005951,6645.757812,2
0.360000,282.993805,6587.468262,2
0.370000,282.971985,6529.178711,2
0.380000,282.964111,6470.889160,2
0.390000,282.926208,6412.599609,2
0.400000,282.955872,6354.310059,2
0.410000,282.929077,6296.020508,2
0.420000,282.914398,6237.730957,2
0.430000,282.902588,6179.441406,2
0.440000,282.897949,6121.151855,2
0.450000,282.858246,6062.862305,2
0.460000,282.851807,6004.572754,2
0.470000,282.817139,5946.283203,2
0.480000,282.790649,5887.993652,2
0.490000,282.768860,5829.704102,2
0.500000,282.785309,5771.414551,2
0.510000,282.730927,5713.125000,2
0.520000,282.692322,5654.835449,2
0.530000,282.678711,5596.545898,2
0.540000,282.644745,5538.256348,2
0.550000,282.612213,5479.966797,2
0.560000,282.580719,5421.677246,2
0.570000,282.557831,5363.387695,2
0.580000,282.629364,5305.098145,2
0.590000,282.507050,5246.808594,2
0.600000,282.445923,6995.495117,3
0.610000,282.495972,6995.495117,3
0.620000,282.484161,6995.495117,3
0.630000,282.440887,6995.495117,3
0.640000,282.426239,6995.495117,3
0.650000,282.389038,6995.495117,3
0.660000,282.326447,6995.495117,3
0.670000,282.265320,6995.495117,3
0.680000,282.202362,6995.495117,3
0.690000,282.147644,6995.495117,3
0.700000,282.097229,6995.495117,3
0.710000,281.996368,6995.495117,3
0.720000,281.923401,6995.495117,3
0.730000,281.865845,6995.495117,3
0.740000,281.797516,6995.495117,3
0.750000,281.713135,6995.495117,3
0.760000,281.629791,6995.495117,3
0.770000,281.545746,6995.495117,3
0.780000,281.463867,6995.495117,3
0.790000,281.397705,6995.495117,3
0.800000,281.317596,6995.495117,3
0.810000,281.222809,6995.495117,3
0.820000,281.141998,6995.495117,3
0.830000,281.053314,6995.495117,3
0.839999,280.952454,6995.495117,3
0.849999,280.884491,6995.495117,3
0.859999,280.793304,6995.495117,3
0.869999,280.696747,6995.495117,3
0.879999,280.607697,6995.495117,3
0.889999,280.520081,6995.495117,3
