flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251212140850_a26,14:08:50,2025-12-12,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,162.772537,95.745209,0.411785,228.373840

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,130.074265,6995.495117,1
0.010000,144.461273,6995.495117,1
0.020000,150.160431,6995.495117,1
0.030000,154.725555,6995.495117,1
0.040000,157.812241,6995.495117,1
0.050000,159.715179,6995.495117,1
0.060000,160.824890,6995.495117,1
0.070000,161.510117,6995.495117,1
0.080000,161.936401,6995.495117,1
0.090000,162.203903,6995.495117,1
0.100000,162.372345,6995.495117,1
0.110000,162.466049,6995.495117,1
0.120000,162.520050,6995.495117,1
0.130000,162.559036,6995.495117,1
0.140000,162.625549,6995.495117,1
0.150000,162.627335,6995.495117,1
0.160000,162.667755,6995.495117,1
0.170000,162.660950,6995.495117,1
0.180000,162.670975,6995.495117,1
0.190000,162.688492,6995.495117,1
0.200000,162.688492,6995.495117,1
0.210000,162.677765,6995.495117,1
0.220000,162.700653,6995.495117,1
0.230000,162.712448,6995.495117,1
0.240000,162.720673,6995.495117,1
0.250000,162.741425,6995.495117,1
0.260000,162.757874,6995.495117,1
0.270000,162.772537,6995.495117,1
0.280000,162.762527,6995.495117,1
0.290000,162.759659,6995.495117,1
0.300000,162.737854,6937.205566,2
0.310000,162.733917,6878.916016,2
0.320000,162.738205,6820.626465,2
0.330000,162.767166,6762.336914,2
0.340000,162.781830,6704.047363,2
0.350000,162.847275,6645.757812,2
0.360000,162.896637,6587.468262,2
0.370000,162.949921,6529.178711,2
0.380000,162.974594,6470.889160,2
0.390000,163.044327,6412.599609,2
0.400000,163.060074,6354.310059,2
0.410000,163.041473,6296.020508,2
0.420000,163.063995,6237.730957,2
0.430000,163.084381,6179.441406,2
0.440000,163.071869,6121.151855,2
0.450000,163.065430,6062.862305,2
0.460000,163.066513,6004.572754,2
0.470000,163.080093,5946.283203,2
0.480000,163.082962,5887.993652,2
0.490000,163.115860,5829.704102,2
0.500000,163.155914,5771.414551,2
0.510000,163.168793,5713.125000,2
0.520000,163.180588,5654.835449,2
0.530000,163.168793,5596.545898,2
0.540000,163.171646,5538.256348,2
0.550000,163.090820,5479.966797,2
0.560000,163.084030,5421.677246,2
0.570000,163.183456,5363.387695,2
0.580000,163.097977,5305.098145,2
0.590000,163.182022,5246.808594,2
0.600000,163.154129,6995.495117,3
0.610000,163.217422,6995.495117,3
0.620000,163.257477,6995.495117,3
0.630000,163.249252,6995.495117,3
0.640000,163.260345,6995.495117,3
0.650000,163.211349,6995.495117,3
0.660000,163.175934,6995.495117,3
0.670000,163.152344,6995.495117,3
0.680000,163.102982,6995.495117,3
0.690000,163.069016,6995.495117,3
0.700000,163.026459,6995.495117,3
0.710000,162.967087,6995.495117,3
0.720000,162.926666,6995.495117,3
0.730000,162.876602,6995.495117,3
0.740000,162.832977,6995.495117,3
0.750000,162.802216,6995.495117,3
0.760000,162.752151,6995.495117,3
0.770000,162.697433,6995.495117,3
0.780000,162.643433,6995.495117,3
0.790000,162.581558,6995.495117,3
0.800000,162.515396,6995.495117,3
0.810000,162.429932,6995.495117,3
0.820000,162.349457,6995.495117,3
0.830000,162.260773,6995.495117,3
0.839999,162.182800,6995.495117,3
0.849999,162.106995,6995.495117,3
0.859999,162.024734,6995.495117,3
0.869999,161.966446,6995.495117,3
0.879999,161.907791,6995.495117,3
0.889999,161.861298,6995.495117,3
