flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251210094911_60f,09:49:11,2025-12-10,PFA-00474,PSA-00486,PSF-00438,549.829956,184.541702,0.664366,0.000000,0.000000,0.000000,0.154188

TIME,FLR,PAR
s,,umol+1m-2s-1
0.000000,381.794922,5996.140625
0.010000,479.921234,5996.140625
0.020000,500.941864,5996.140625
0.030000,512.818665,5996.140625
0.040000,519.793884,5996.140625
0.050000,524.173035,5996.140625
0.060000,527.144897,5996.140625
0.070000,529.296753,5996.140625
0.080000,530.914307,5996.140625
0.090000,532.105591,5996.140625
0.100000,533.122314,5996.140625
0.110000,533.866516,5996.140625
0.120000,534.552124,5996.140625
0.130000,535.171143,5996.140625
0.140000,535.719727,5996.140625
0.150000,536.259399,5996.140625
0.160000,536.764771,5996.140625
0.170000,537.269714,5996.140625
0.180000,537.770386,5996.140625
0.190000,538.293213,5996.140625
0.200000,538.836121,5996.140625
0.210000,539.314636,5996.140625
0.220000,539.829956,5996.140625
0.230000,540.346375,5996.140625
0.240000,540.857422,5996.140625
0.250000,541.353821,5996.140625
0.260000,541.876343,5996.140625
0.270000,542.375549,5996.140625
0.280000,542.826538,5996.140625
0.290000,543.275024,5996.140625
0.300000,543.768188,5996.140625
0.310000,544.144775,5996.140625
0.320000,544.553162,5996.140625
0.330000,544.915100,5996.140625
0.340000,545.289856,5996.140625
0.350000,545.644653,5996.140625
0.360000,545.980835,5996.140625
0.370000,546.299438,5996.140625
0.380000,546.554810,5996.140625
0.390000,546.859863,5996.140625
0.400000,547.154907,5996.140625
0.410000,547.341248,5996.140625
0.420000,547.572998,5996.140625
0.430000,547.787170,5996.140625
0.440000,547.977417,5996.140625
0.450000,548.148376,5996.140625
0.460000,548.330811,5996.140625
0.470000,548.470947,5996.140625
0.480000,548.623352,5996.140625
0.490000,548.758179,5996.140625
0.500000,548.946289,5996.140625
0.510000,549.006348,5996.140625
0.520000,549.093628,5996.140625
0.530000,549.191589,5996.140625
0.540000,549.274536,5996.140625
0.550000,549.351074,5996.140625
0.560000,549.409729,5996.140625
0.570000,549.456604,5996.140625
0.580000,549.538147,5996.140625
0.590000,549.603577,5996.140625
0.600000,549.651489,5996.140625
0.610000,549.673340,5996.140625
0.620000,549.691223,5996.140625
0.630000,549.732666,5996.140625
0.640000,549.755188,5996.140625
0.650000,549.777039,5996.140625
0.660000,549.759888,5996.140625
0.670000,549.787781,5996.140625
0.680000,549.774902,5996.140625
0.690000,549.795959,5996.140625
0.700000,549.829956,5996.140625
0.710000,549.793152,5996.140625
0.720000,549.778809,5996.140625
0.730000,549.767761,5996.140625
0.740000,549.762390,5996.140625
0.750000,549.721985,5996.140625
0.760000,549.727295,5996.140625
0.770000,549.699768,5996.140625
0.780000,549.672241,5996.140625
0.790000,549.643616,5996.140625
