flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20260104135853_ca0,13:58:53,2026-01-04,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,155.260071,113.678101,0.267821,126.873299

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,132.953171,6995.495117,1
0.010000,143.553619,6995.495117,1
0.020000,147.100204,6995.495117,1
0.030000,149.183746,6995.495117,1
0.040000,150.531296,6995.495117,1
0.050000,151.489014,6995.495117,1
0.060000,152.191406,6995.495117,1
0.070000,152.709961,6995.495117,1
0.080000,153.133392,6995.495117,1
0.090000,153.437012,6995.495117,1
0.100000,153.715607,6995.495117,1
0.110000,153.913025,6995.495117,1
0.120000,154.087540,6995.495117,1
0.130000,154.238815,6995.495117,1
0.140000,154.385086,6995.495117,1
0.150000,154.484146,6995.495117,1
0.160000,154.600388,6995.495117,1
0.170000,154.680847,6995.495117,1
0.180000,154.759521,6995.495117,1
0.190000,154.818893,6995.495117,1
0.200000,154.903290,6995.495117,1
0.210000,154.945129,6995.495117,1
0.220000,154.991272,6995.495117,1
0.230000,155.027740,6995.495117,1
0.240000,155.070312,6995.495117,1
0.250000,155.129318,6995.495117,1
0.260000,155.138977,6995.495117,1
0.270000,155.166153,6995.495117,1
0.280000,155.193680,6995.495117,1
0.290000,155.211929,6995.495117,1
0.300000,155.234818,6937.205566,2
0.310000,155.248398,6878.916016,2
0.320000,155.261642,6820.626465,2
0.330000,155.278809,6762.336914,2
0.340000,155.285599,6704.047363,2
0.350000,155.299896,6645.757812,2
0.360000,155.302765,6587.468262,2
0.370000,155.308838,6529.178711,2
0.380000,155.302399,6470.889160,2
0.390000,155.322784,6412.599609,2
0.400000,155.325287,6354.310059,2
0.410000,155.315994,6296.020508,2
0.420000,155.314209,6237.730957,2
0.430000,155.317780,6179.441406,2
0.440000,155.318146,6121.151855,2
0.450000,155.316711,6062.862305,2
0.460000,155.313492,6004.572754,2
0.470000,155.316345,5946.283203,2
0.480000,155.313492,5887.993652,2
0.490000,155.311340,5829.704102,2
0.500000,155.313492,5771.414551,2
0.510000,155.301331,5713.125000,2
0.520000,155.295609,5654.835449,2
0.530000,155.300613,5596.545898,2
0.540000,155.292755,5538.256348,2
0.550000,155.296677,5479.966797,2
0.560000,155.282379,5421.677246,2
0.570000,155.281311,5363.387695,2
0.580000,155.290604,5305.098145,2
0.590000,155.269150,5246.808594,2
0.600000,155.191895,6995.495117,3
0.610000,155.251984,6995.495117,3
0.620000,155.282013,6995.495117,3
0.630000,155.293106,6995.495117,3
0.640000,155.310638,6995.495117,3
0.650000,155.313843,6995.495117,3
0.660000,155.323502,6995.495117,3
0.670000,155.320999,6995.495117,3
0.680000,155.327087,6995.495117,3
0.690000,155.325653,6995.495117,3
0.700000,155.330307,6995.495117,3
0.710000,155.317780,6995.495117,3
0.720000,155.324936,6995.495117,3
0.730000,155.320999,6995.495117,3
0.740000,155.322083,6995.495117,3
0.750000,155.327438,6995.495117,3
0.760000,155.331726,6995.495117,3
0.770000,155.333878,6995.495117,3
0.780000,155.324219,6995.495117,3
0.790000,155.327087,6995.495117,3
0.800000,155.339600,6995.495117,3
0.810000,155.324219,6995.495117,3
0.820000,155.320282,6995.495117,3
0.830000,155.330658,6995.495117,3
0.839999,155.323868,6995.495117,3
0.849999,155.323868,6995.495117,3
0.859999,155.325287,6995.495117,3
0.869999,155.320648,6995.495117,3
0.879999,155.322784,6995.495117,3
0.889999,155.313141,6995.495117,3
