SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
Obs#,Time,Date,configName,configAuthor,remark,id,,,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,leaf_width,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,TRANS,rh_s,rh_r,Tref,Tmeas,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,type,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,aw,Bla,Blb,Blc,Bld,Ble,chamber,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
,HHMMSS,YYYYMMDD,,,,,,,mol+1m-2s-1,mol+1m-2s-1,mol+1m-2s-1,mmol+1m-2s-1,kPa,kPa,kPa,kPa,mmol+1mol-1,mmol+1mol-1,mmol+1mol-1,cm+2,mm,,,,,,,,,,umol+1m-2s-1,,%,%,C,C,C,kPa,umol+1sec-1,umol+1sec-1,%,umol+1m-2s-1,V,HHMMSS,YYYYMMDD,%,,,,,,,,,umol+1sec-1,(umol+1m-2s-1)s-1,s,,,,,,,,,,umol+1m-2s-1,Hz,s-1,s,ms,ms,ms,,%,,,,,V,V,V,V,V,V,V,V,V,A,,,,,,,,,,,,,,,,,
1,08:35:39,2026-01-08,TT25_psf_dark,eap,,2616_mai_green,,,0.006797,2.923362,0.006781,0.110427,0.959608,0.956866,2.384209,1.424601,10.732613,10.763370,26.742296,0.441786,7.500000,PSF-00438_20260108083539_bcd,111.240860,529.415466,0.789880,0.000000,0.000000,0.000000,0.5,0.80,0.043293,1.000000,33.89,33.79,23.07,20.26,20.26,89.15,156.9,157.8,-0.6,0,4.017,09:43:21,2026-01-08,-0.11,1,-0.000,-0.000,-9999.000,-0.150,-0.670,-9999.000,1,150,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.445737,2.460058,1.657234,0.940924,0.294608,-0.030425,0.057315,0.107424,111.240860,0.000234,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20260108083539_bcd,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-12-11T16:13:15.848Z
2,08:36:20,2026-01-08,TT25_psf_dark,eap,,5579_mai_yellow,,,0.011469,2.921536,0.011424,0.220865,0.990221,0.984730,2.678519,1.688298,11.044710,11.106295,30.042212,0.441786,7.500000,PSF-00438_20260108083620_6cf,106.328133,521.110291,0.795959,0.000000,0.000000,0.000000,0.5,0.80,0.016033,1.000000,35.01,34.82,23.05,22.15,22.15,89.16,156.7,157.3,-0.4,0,4.015,09:43:21,2026-01-08,-0.11,1,-0.000,-0.000,-9999.000,-0.294,-0.758,-9999.000,1,150,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.447195,2.461668,1.655320,0.939454,0.294823,-0.009439,0.063534,0.107346,106.328133,0.000239,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20260108083620_6cf,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-12-11T16:13:15.848Z
3,08:36:46,2026-01-08,TT25_psf_dark,eap,,5122_mai_red,,,0.044392,2.921277,0.043728,0.726804,1.028894,1.010829,2.481637,1.452743,11.337378,11.539988,27.833834,0.441786,7.500000,PSF-00438_20260108083646_9df,158.186676,488.236420,0.676004,0.000000,0.000000,0.000000,0.5,0.80,0.018239,1.000000,36.42,35.78,23.03,20.91,20.91,89.16,156.6,158.4,-1.1,0,3.984,09:43:21,2026-01-08,-0.11,1,0.001,-0.000,-9999.000,-0.249,-0.067,-9999.000,1,150,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.448556,2.463671,1.655048,0.942433,0.295021,-0.022965,0.067344,0.107362,158.186676,0.000239,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20260108083646_9df,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-12-11T16:13:15.848Z
4,08:37:09,2026-01-08,TT25_psf_dark,eap,,2689_mai_red,,,0.001989,2.923355,0.001988,0.036586,1.020797,1.019889,2.628078,1.607281,11.439121,11.449305,29.476643,0.441786,7.500000,PSF-00438_20260108083709_8d5,108.383774,513.531799,0.788944,0.000000,0.000000,0.000000,0.5,0.80,0.014762,1.000000,36.15,36.12,23.02,21.84,21.84,89.16,156.9,157.9,-0.6,0,4.013,09:43:21,2026-01-08,-0.11,1,0.000,-0.000,-9999.000,0.157,0.574,-9999.000,1,150,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.449041,2.463297,1.657226,0.941118,0.295140,-0.012583,0.070735,0.107343,108.383774,0.000238,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20260108083709_8d5,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-12-11T16:13:15.848Z
5,08:37:37,2026-01-08,TT25_psf_dark,eap,,2608_mai_pink,,,0.003553,2.922234,0.003548,0.064694,1.033515,1.031908,2.625776,1.592261,11.573470,11.591491,29.449661,0.441786,7.500000,PSF-00438_20260108083737_f2b,246.231430,531.187195,0.536451,0.000000,0.000000,0.000000,0.5,0.80,0.015583,1.000000,36.61,36.56,23.02,21.83,21.83,89.16,156.8,158.1,-0.8,0,4.012,09:43:21,2026-01-08,-0.11,1,-0.001,0.001,-9999.000,-0.048,0.039,-9999.000,1,150,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.449659,2.463956,1.656050,0.941502,0.295209,-0.012676,0.074758,0.107366,246.231430,0.000237,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20260108083737_f2b,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-12-11T16:13:15.848Z
6,08:37:59,2026-01-08,TT25_psf_dark,eap,,4781_mai_green,,,0.009039,2.921676,0.009011,0.166585,1.050691,1.046553,2.664526,1.613836,11.738443,11.784856,29.886114,0.441786,7.500000,PSF-00438_20260108083759_9c4,139.053589,587.266785,0.763219,0.000000,0.000000,0.000000,0.5,0.80,0.046686,1.000000,37.22,37.08,23.02,22.07,22.07,89.16,156.7,155.3,0.9,0,4.012,09:43:21,2026-01-08,-0.11,1,0.001,0.001,-9999.000,-0.254,0.100,-9999.000,1,150,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.450388,2.464818,1.655465,0.934516,0.295211,-0.010021,0.077854,0.107439,139.053589,0.000235,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20260108083759_9c4,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-12-11T16:13:15.848Z
7,08:38:18,2026-01-08,TT25_psf_dark,eap,,5596_mai_red,,,0.001288,2.922248,0.001288,0.023758,1.029453,1.028863,2.640531,1.611078,11.540224,11.546842,29.617470,0.441786,7.500000,PSF-00438_20260108083818_ff7,110.127571,504.722717,0.781806,0.000000,0.000000,0.000000,0.5,0.80,0.192661,1.000000,36.46,36.44,23.02,21.92,21.92,89.15,156.8,158.0,-0.8,1,4.011,09:43:21,2026-01-08,-0.11,1,-0.001,-0.002,-9999.000,0.127,-0.253,-9999.000,1,150,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.449493,2.463738,1.656065,0.941305,0.295159,-0.011710,0.080479,0.107855,110.127571,0.000240,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20260108083818_ff7,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-12-11T16:13:15.848Z
8,08:38:41,2026-01-08,TT25_psf_dark,eap,,545_mai_red,,,0.005079,2.920702,0.005070,0.078208,1.015071,1.013126,2.364469,1.349398,11.362631,11.384446,26.518503,0.441786,7.500000,PSF-00438_20260108083841_4e8,11.542439,47.567009,0.757344,0.000000,0.000000,0.000000,0.5,0.80,0.030671,1.000000,35.94,35.87,23.03,20.12,20.12,89.16,156.6,157.5,-0.6,0,4.010,09:43:21,2026-01-08,-0.11,1,-0.000,0.003,-9999.000,0.066,-0.191,-9999.000,1,150,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,5.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.448697,2.463003,1.654446,0.940161,0.295118,-0.031399,0.083715,0.107392,11.542439,0.000238,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20260108083841_4e8,PFA-00474,PSA-00486,PSF-00438,RHS-00603,3.0.0,2025-12-11T16:13:15.848Z
