obs,time,elapsed,date,hhmmss,averaging,machine,id,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,CO2_hrs,AccH2O_des,AccCO2_soda,AccH2O_hum,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r,NA
1,1743612487,0,20250402 11:48:07,11:48:07,5,gibson,4193_mai_pink,1743612479,0.000175833,0.175832844,0.859760826,398.8651875,203.71886,18.225577,35.68421788,0.007493266,2.735429754,0.007481881,0.004677197,49.61557484,25.9265826,25.9265826,3.359627263,39.66642535,1.312005991,3.307598252,2.047621272,-7.754228427,-38.83800105,-3.027346645,-0.004001275,0,0,1,0,47199,299.996875,252.896895,0.842998431,0.165386972,6,0.5,0: Broadleaf,2,1743612479,398.8651875,399.981,14.665125,14.45723125,393.4311875,14.624125,500.02725,89.36433125,0.100026625,25.663225,24.9943625,999.9,0,0,9995.3075,0,184.621875,-1.033167,404.8939375,405.8484375,0.228076,399.981,14.45723125,1.3123425,1.29196,10.94095625,10.70565,299.996875,0.90004225,0.099957344,0,2.65755625,0,1213.6025,2669.965625,35.761625,40,38.125,39,36.5,270.010625,29.98375,0,1743612487,0,1743612505,11:48:25,1743612505,1743612505,1,-0.086,-0.018,5.434,0.041,400,14,0.34,0.21,-1.0385511,0.020628451,0.037497725,1,0.2271183,0.015541083,0.001820779,1,2,2,2-Feb,3.1245,2.72306,0.084965,0.0860044,0.071096,0.0703004,24836.2,22324.2,24262.4,23771.5,38415,36537.2,43738.6,42334.9,1.87115,1.85422,0.0933483,0,23.4653,999.9,38.005,25.982,14.3354,53.9766,44.395,1,-0.146296,-0.969965,20.2533,5.23436,11.9914,4.95625,3.304,999.9,9999,9999,9999,1.8683,1.864,1.87168,1.86249,1.86188,1.86838,1.85852,1.86501,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,5.434,0.041,4.135548368,0.004507312,-2.84E-06,7.75E-10,-0.002074778,-0.005433597,0.000660104,4.95E-07,1,2226,1,22,1205.9,1206.2,1.00342,2.34863,1.4978,2.34741,1.54419,2.38037,30.9119,15.997,18,499.725,437.008,25.9331,25.5052,30.0001,25.465,25.4909,20.1192,-30,-30,25.9282,400,0,98.0317,98.7116,NA
2,1743612590,103,20250402 11:49:50,11:49:50,5,gibson,4193_mai_pink,1743612582,0.000175473,0.175472705,0.622628084,299.179125,158.0739438,14.14140948,26.76478117,0.007524741,2.736971724,0.007513267,0.004696821,49.61599033,25.92281063,25.92281063,3.358877055,40.04410106,1.324204348,3.306864965,2.034672707,-7.738346302,-38.85480786,-3.026836291,-0.004000127,0,0,1,0,47470,300.000875,252.9001395,0.842998006,0.165386152,6,0.5,0: Broadleaf,2,1743612582,299.179125,299.98925,14.802075,14.59463125,294.430125,14.760075,500.0160625,89.36076875,0.0999554,25.6594875,24.99624375,999.9,0,0,10004.87813,0,184.721625,-0.408771563,304.0825,304.432125,0.21090725,299.98925,14.59463125,1.323035,1.304188125,11.0631125,10.84720625,300.000875,0.900059,0.0999405,0,2.68194375,0,1209.756875,2670.014375,35.812,40.031,38.187,39.03875,36.558125,270.019375,29.98,0,1743612589,0,1743612608,11:50:08,1743612608,1743612608,2,-0.404,-0.001,4.749,0.042,300,15,0.37,0.17,-0.395209952,-0.078870935,0.035917319,1,0.21119519,-0.001757143,0.001260764,1,2,2,2-Feb,3.12433,2.72316,0.0674188,0.0684661,0.0715846,0.0707955,25310.3,22752.4,24260.4,23771.4,38389.5,36516.8,43734.5,42335.5,1.87038,1.8538,0.0923872,0,23.469,999.9,38.231,25.992,14.4289,53.8467,44.8918,1,-0.146245,-0.966498,20.2539,5.23406,11.9909,4.95715,3.304,999.9,9999,9999,9999,1.86829,1.86399,1.87165,1.86249,1.86188,1.8684,1.85852,1.865,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,4.749,0.042,4.049402994,0.004507312,-2.84E-06,7.75E-10,-0.019737509,-0.005433597,0.000660104,4.95E-07,1,2226,1,22,1.4,1.4,0.803223,2.35474,1.49902,2.34741,1.54419,2.27783,30.9335,15.9708,18,499.246,436.74,25.9203,25.5074,30,25.4629,25.4888,16.1122,-30,-30,25.9213,300,0,98.0228,98.7124,NA
3,1743612684,197,20250402 11:51:24,11:51:24,5,gibson,4193_mai_pink,1743612676,0.000176655,0.176654964,0.29641096,199.5946,130.9799164,11.7173046,17.85549104,0.007602804,2.736906613,0.00759109,0.004745482,49.61645016,25.93971404,25.93971404,3.362240119,40.33142297,1.335069238,3.310245807,2.027170881,-7.790483914,-38.80630895,-3.023648088,-0.003990795,0,0,1,0,47449,300.0016,252.9009268,0.842998593,0.165387285,6,0.5,0: Broadleaf,2,1743612676,199.5946,199.9926,14.92384667,14.71502667,195.2436,14.88384667,500.0055333,89.35884,0.099948167,25.67671333,25.01122667,999.9,0,0,10004.70667,0,184.3198,-0.326289933,202.6925333,202.9794667,0.215063667,199.9926,14.71502667,1.334134,1.314917333,11.18902,10.97046,300.0016,0.9000414,0.0999582,0,2.703506667,0,1204.032,2670.008,35.875,40.062,38.25,39.062,36.562,270.0146667,29.986,0,1743612684,0,1743612703,11:51:43,1743612701,1743612703,3,-0.073,-0.004,4.351,0.04,200,15,0.44,0.19,-0.322464095,-0.05882587,0.059763199,1,0.215316571,-0.000516623,0.001121268,1,2,2,2-Feb,3.12459,2.72358,0.047417,0.0484834,0.0720359,0.0712259,25850.6,23241.9,24258,23772.9,38366.3,36500.6,43731.5,42338.2,1.87083,1.85273,0.0935122,0,23.4698,999.9,38.475,26.032,14.5568,53.6867,44.4872,1,-0.14672,-0.894134,20.2541,5.23361,11.9884,4.95695,3.304,999.9,9999,9999,9999,1.86831,1.86394,1.87164,1.86246,1.86188,1.8684,1.85852,1.86498,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,4.351,0.04,3.645098492,0.004507312,-2.84E-06,7.75E-10,-0.020764027,-0.005433597,0.000660104,4.95E-07,1,2226,1,22,1.3,1.3,0.594482,2.37671,1.4978,2.34741,1.54419,2.24243,30.9769,15.962,18,499.497,436.091,25.941,25.5074,30,25.4607,25.4867,11.918,-30,-30,25.9289,200,0,98.015,98.7187,NA
4,1743612786,299,20250402 11:53:06,11:53:06,5,gibson,4193_mai_pink,1743612778,0.000176616,0.176615868,-0.058385932,100.030525,108.4052338,9.698070653,8.948858507,0.007648273,2.737132321,0.00763642,0.004773826,49.61771219,25.93011369,25.93011369,3.360329694,40.67515466,1.345681002,3.308361119,2.014648692,-7.788759772,-38.80958075,-3.023362221,-0.003990553,0,0,1,0,47440,300.004875,252.9040609,0.842999838,0.165389686,6,0.5,0: Broadleaf,2,1743612778,100.030525,99.9816625,15.04205,14.8333,95.867525,15.00705,500.0025,89.3613375,0.099939519,25.6671125,24.9971,999.9,0,0,10005.77,0,184.4965625,-0.135516619,101.3719375,101.4870625,0.217880125,99.9816625,14.8333,1.344994375,1.325525,11.31129375,11.09143125,300.004875,0.900003375,0.099996513,0,2.54881875,0,1203.159375,2670.000625,35.875,40.125,38.27325,39.0816875,36.60925,270.005,29.99875,0,1743612786,0,1743612812,11:53:32,1743612812,1743612804,4,0.184,-0.006,4.163,0.035,100,15,0.44,0.16,-0.140839695,0.032180221,0.040404543,1,0.21776881,-0.001536,0.000859864,1,2,2,2-Feb,3.12451,2.72354,0.0244791,0.0255211,0.072487,0.0716527,26471.2,23803.8,24256.1,23773.9,38341.8,36484.2,43727.2,42340.7,1.87053,1.8523,0.0919029,0,23.4791,999.9,38.725,26.052,14.6673,54.5567,44.5272,1,-0.146204,-0.980319,20.2538,5.23391,11.9914,4.95645,3.304,999.9,9999,9999,9999,1.8683,1.864,1.87164,1.86249,1.86188,1.86835,1.85852,1.86498,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,4.163,0.035,3.57192652,0.004507312,-2.84E-06,7.75E-10,-0.02465032,-0.005433597,0.000660104,4.95E-07,1,2226,1,22,1.4,1.4,0.375977,2.40479,1.4978,2.34619,1.54419,2.20703,31.0202,15.9358,18,499.301,435.823,25.9523,25.5058,30.0001,25.4586,25.4845,7.56692,-30,-30,25.951,100,0,98.0061,98.7238,NA
5,1743612895,408,20250402 11:54:55,11:54:55,5,gibson,4193_mai_pink,1743612887,0.000182562,0.182561827,-0.174803894,50.19796875,82.97404185,7.423334508,4.490998695,0.007950801,2.737486735,0.007937994,0.004962395,49.61711888,25.93420377,25.93420377,3.361143486,41.02836901,1.357831684,3.309494666,2.003311802,-8.050976559,-38.56594023,-3.004141819,-0.003939723,0,0,1,0,47546,300.0005,252.9004403,0.843000063,0.165390121,6,0.5,0: Broadleaf,2,1743612887,50.19796875,49.99920625,15.1771125,14.96136875,46.10296875,15.1361125,500.0128125,89.3658375,0.099907963,25.6728875,25.00038125,999.9,0,0,10007.375,0,184.4339375,0.061624551,50.83226875,50.75861875,0.214652063,49.99920625,14.96136875,1.35621875,1.337035,11.4367875,11.22175625,300.0005,0.899997875,0.100002031,0,2.61951875,0,1204.114375,2669.956875,35.937,40.128875,38.312,39.125,36.625,269.999375,30.000625,0,1743612894,0,1743612916,11:55:16,1743612916,1743612913,5,0.138,0.004,4.095,0.041,50,15,0.26,0.18,0.062195058,-0.037892325,0.040683357,1,0.21438315,0.010139865,0.001334309,1,2,2,2-Feb,3.12456,2.72352,0.0119538,0.0129845,0.0729544,0.0721144,26808.2,24111.1,24253.4,23774.8,38317.5,36466.7,43722.9,42342.7,1.87055,1.85185,0.0927895,0,23.487,999.9,38.976,26.093,14.7976,54.2167,44.6835,1,-0.146629,-0.946174,20.2539,5.23496,11.9918,4.95765,3.304,999.9,9999,9999,9999,1.8683,1.864,1.87165,1.86248,1.86188,1.86834,1.85852,1.86499,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,4.095,0.041,3.756022391,0.004507312,-2.84E-06,7.75E-10,-0.030796653,-0.005433597,0.000660104,4.95E-07,1,2226,1,22,1.4,1.5,0.266113,2.41577,1.4978,2.34619,1.54419,2.38281,31.0636,15.927,18,499.316,435.559,25.9241,25.5074,30.0001,25.4586,25.4845,5.38108,-30,-30,25.9184,50,0,97.9961,98.7282,NA
6,1743613008,521.0999999,20250402 11:56:48,11:56:48,5,gibson,4193_mai_pink,1743613000,0.000187849,0.187849451,1.076329428,398.6040625,178.9478352,16.00863488,35.65903377,0.008247042,2.736784483,0.00823326,0.005147024,49.61690028,25.93229838,25.93229838,3.360764355,41.50807369,1.373666742,3.30939651,1.987097613,-8.284160799,-38.34868782,-2.9879491,-0.003897435,0,0,1,0,47509,299.9985,252.8988124,0.843000256,0.165390495,6,0.5,0: Broadleaf,2,1743613000,398.6040625,399.9855,15.35513125,15.133175,393.2510625,15.30413125,500.0039375,89.35985625,0.09992885,25.6723875,25.00165,999.9,0,0,10003.86625,0,184.029375,-1.459758125,404.7385625,406.1315625,0.2169285,399.9855,15.133175,1.3716825,1.352296875,11.60814375,11.39304375,299.9985,0.899992063,0.100007887,0,2.70429375,0,1198.834375,2669.935,35.9566875,40.187,38.3710625,39.187,36.687,269.996875,30.0025,0,1743613008,0,1743613035,11:57:15,1743613035,1743613026,6,0.075,0.008,5.353,0.051,400,15,0.39,0.29,-1.479427143,0.510581088,0.062653385,0,0.21655319,0.00448347,0.001045576,1,1,2,2-Jan,3.12451,2.72336,0.084931,0.08601,0.0735498,0.0727182,24826.3,22328.5,24251.8,23776.2,38296.8,36451.2,43720.3,42345.7,1.87062,1.85252,0.0930019,0,23.489,999.9,39.171,26.123,14.8977,53.9485,44.5192,1,-0.146207,-0.919107,20.2541,5.23481,11.9911,4.95765,3.304,999.9,9999,9999,9999,1.86829,1.86401,1.87164,1.86249,1.86188,1.8684,1.85852,1.86497,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,5.353,0.051,3.893827061,0.004507312,-2.84E-06,7.75E-10,-0.027261067,-0.005433597,0.000660104,4.95E-07,1,2226,1,22,1.5,1.6,1.00464,2.37915,1.49902,2.34497,1.54419,2.22778,31.0853,15.9007,18,499.361,435.956,25.8583,25.5074,30.0001,25.4586,25.4845,20.1413,-30,-30,25.8583,400,0,97.99,98.7347,NA
7,1743613097,610.0999999,20250402 11:58:17,11:58:17,5,gibson,4193_mai_pink,1743613089,0.000192977,0.192977099,1.037044836,398.6832667,192.8319319,17.25160669,35.66798737,0.008516732,2.738122624,0.008502043,0.005315094,49.61659549,25.92459095,25.92459095,3.359231126,41.78733081,1.382402613,3.308185965,1.976828512,-8.510290059,-38.14011754,-2.970039107,-0.003851217,0,0,1,0,47415,299.9938667,252.8951456,0.843001053,0.165392033,6,0.5,0: Broadleaf,2,1743613089,398.6832667,400.02,15.45197333,15.22398667,393.3332667,15.39797333,500.0166667,89.36454,0.09993054,25.66622,24.99578,999.9,0,0,10011.30467,0,184.4234667,-1.336832667,404.9408667,406.2040667,0.2291706,400.02,15.22398667,1.380964,1.360482,11.71020667,11.48421333,299.9938667,0.89997,0.10003,0,2.67326,0,1201.548667,2669.872667,36,40.2164,38.375,39.187,36.687,269.9846667,30.01,0,1743613096,0,1743613117,11:58:37,1743613117,1743613117,7,-0.003,0.002,5.35,0.054,400,15,0.48,0.14,-1.336198571,0.087427013,0.042772847,1,0.228693238,0.009658675,0.001377857,1,2,2,2-Feb,3.12461,2.72355,0.0849452,0.0860219,0.0738847,0.0730435,24823.8,22328.5,24249.7,23776.5,38279.5,36439,43716.5,42346.3,1.87038,1.8521,0.0920892,0,23.4929,999.9,39.318,26.163,14.9884,54.2885,44.4671,1,-0.145691,-0.91354,20.2539,5.23421,11.9905,4.9573,3.304,999.9,9999,9999,9999,1.86829,1.864,1.87164,1.86247,1.86188,1.86838,1.85852,1.86496,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,5.35,0.054,3.968942619,0.004507312,-2.84E-06,7.75E-10,-0.01946416,-0.005433597,0.000660104,4.95E-07,1,2226,1,22,1,1.2,1.00464,2.37915,1.49902,2.34619,1.54419,2.20581,31.1504,15.8657,18,499.229,435.723,25.8599,25.5096,30.0001,25.4607,25.4867,20.1368,-30,-30,25.8523,400,0,97.9814,98.7361,NA
8,1743613191,704.0999999,20250402 11:59:51,11:59:51,5,gibson,4193_mai_pink,1743613183,0.000196248,0.19624756,1.820099973,597.7104,247.3065619,22.12725115,53.47892121,0.008702626,2.735413891,0.008687273,0.005430923,49.61623935,25.92381208,25.92381208,3.359076218,42.06317746,1.391519328,3.308165032,1.96755689,-8.654517398,-38.00325446,-2.962298679,-0.003831195,0,0,1,0,47391,299.9916667,252.893295,0.843001067,0.165392059,6,0.5,0: Broadleaf,2,1743613183,597.7104,600.0351333,15.5524,15.32058,592.1384,15.5004,500.0313333,89.37297333,0.099990847,25.66611333,25.00208,999.9,0,0,9994.246667,0,184.5226667,-2.096387333,607.389,609.3709333,0.238211133,600.0351333,15.32058,1.390535333,1.369247333,11.81483333,11.58125333,299.9916667,0.89997,0.10003,0,2.59552,0,1218.496,2669.854,36.00413333,40.25,38.437,39.2248,36.7332,269.9833333,30.01,0,1743613191,0,1743613211,12:00:11,1743613211,1743613211,8,-0.233,-0.003,5.572,0.052,600,15,0.37,0.17,-2.16616381,-0.058972208,0.286654602,1,0.238063524,0.008709039,0.001698505,1,2,2,2-Feb,3.12455,2.72338,0.115032,0.115909,0.0742383,0.0733748,24006,21599.5,24247.8,23777.5,38264.7,36430.2,43713.4,42348.6,1.87025,1.8525,0.0918098,0,23.4929,999.9,39.495,26.183,15.075,54.1885,44.7917,1,-0.145775,-0.917802,20.2542,5.23511,11.989,4.95765,3.304,999.9,9999,9999,9999,1.86833,1.86401,1.87164,1.86246,1.86188,1.86844,1.85852,1.86499,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,5.572,0.052,3.965554251,0.004507312,-2.84E-06,7.75E-10,-0.017827429,-0.005433597,0.000660104,4.95E-07,1,2226,1,22,1.2,1.2,1.38306,2.33765,1.4978,2.34619,1.54419,2.35718,31.1504,15.927,18,499.155,435.958,25.8445,25.5117,30.0002,25.4607,25.4867,27.7389,-30,-30,25.8496,600,0,97.9743,98.741,NA
9,1743613290,803.0999999,20250402 12:01:30,12:01:30,5,gibson,4193_mai_pink,1743613282,0.000196983,0.19698337,2.439471824,796.8675,330.9834541,29.60784631,71.28311153,0.008772811,2.736205721,0.008757214,0.005474658,49.61604812,25.91748789,25.91748789,3.357818662,42.30909878,1.399152491,3.306977769,1.958666172,-8.686966616,-37.97393183,-2.95897259,-0.003822914,0,0,1,0,47431,299.9904375,252.8922651,0.843001088,0.165392099,6,0.5,0: Broadleaf,2,1743613282,796.8675,799.983125,15.641,15.408325,791.2315,15.586,500.0168125,89.3542,0.09995835,25.6600625,24.99144375,999.9,0,0,10001.05625,0,184.7624375,-2.84562625,809.80525,812.5024375,0.234595187,799.983125,15.408325,1.397760625,1.37679625,11.89335,11.66446875,299.9904375,0.89997,0.10003,0,2.65815,0,1238.2775,2669.8425,36.062,40.25,38.437,39.25,36.75,269.98125,30.01,0,1743613290,0,1743613329,12:02:09,1743613329,1743613308,9,-0.275,0.002,5.636,0.055,800,15,0.34,0.12,-2.851309,0.07999218,0.039861355,1,0.23438735,0.008300977,0.001203579,1,2,2,2-Feb,3.12458,2.72324,0.140459,0.141275,0.0745436,0.0736805,23314.6,20980.6,24245.7,23778,38251,36421.8,43709.8,42350.5,1.87048,1.85293,0.0913069,0,23.4874,999.9,39.592,26.203,15.1319,53.9785,44.7516,1,-0.145635,-0.98165,20.2536,5.23301,11.9878,4.95695,3.304,999.9,9999,9999,9999,1.86831,1.864,1.8717,1.86248,1.86188,1.86839,1.85852,1.86503,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,5.636,0.055,3.732650234,0.004507312,-2.84E-06,7.75E-10,-0.020617786,-0.005433597,0.000660104,4.95E-07,1,2226,1,22,1.3,1.3,1.74194,2.323,1.4978,2.34619,1.54419,2.37549,31.2156,15.927,18,499.306,436.221,25.9091,25.5117,30.0002,25.4629,25.4882,34.911,-30,-30,25.9156,800,0,97.966,98.7447,NA
10,1743613420,933.0999999,20250402 12:03:40,12:03:40,5,gibson,4193_mai_pink,1743613412,0.000191497,0.19149703,2.618154756,996.6311875,479.3352746,42.88210285,89.16022532,0.008547762,2.73624035,0.008532955,0.005334425,49.61711384,25.93303566,25.93303566,3.360911052,42.50215174,1.406706573,3.30973025,1.954204478,-8.445019042,-38.19904548,-2.976917962,-0.003868652,0,0,1,0,47532,299.9971875,252.8979291,0.843001,0.16539193,6,0.5,0: Broadleaf,2,1743613412,996.6311875,1000.001875,15.7241375,15.4979625,990.6141875,15.6661375,500.017875,89.361625,0.099979694,25.6740875,25.00720625,999.9,0,0,10000.43125,0,182.4888125,-3.495735625,1012.426875,1015.7425,0.228154563,1000.001875,15.4979625,1.405310625,1.3849225,11.9750625,11.75355625,299.9971875,0.899975875,0.100024112,0,2.61995,0,1256.6375,2669.909375,36.062,40.30425,38.45275,39.25,36.753875,269.99,30.01,0,1743613420,0,1743613453,12:04:13,1743613453,1743613438,10,0.124,0.001,6.017,0.058,1000,16,1.39,0.14,-3.513673,0.048759699,0.06298249,1,0.22804975,-0.001493368,0.00125149,1,2,2,2-Feb,3.12465,2.72337,0.162876,0.163574,0.0748253,0.0739998,22704.7,20436.6,24243.3,23778.5,38237.7,36412.2,43705.8,42351.9,1.8706,1.8529,0.0929981,0,23.4791,999.9,39.714,26.254,15.2234,54.1785,44.3309,1,-0.145559,-0.90381,20.254,5.23526,11.9897,4.9577,3.304,999.9,9999,9999,9999,1.86837,1.864,1.87164,1.86248,1.86188,1.86839,1.85852,1.86496,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,6.017,0.058,3.457839815,0.004507312,-2.84E-06,7.75E-10,-0.018816213,-0.005433597,0.000660104,4.95E-07,1,2226,1,22,1.5,1.9,2.08374,2.32544,1.4978,2.34497,1.54419,2.38403,31.2374,15.9182,18,499.38,436.21,25.888,25.5139,30.0001,25.4629,25.4888,41.7537,-30,-30,25.8855,1000,0,97.9568,98.7475,NA
