obs,time,elapsed,date,hhmmss,averaging,machine,id,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,CO2_hrs,AccH2O_des,AccH2O_hum,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r,NA
1,1743611647,0,20250402 11:34:07,11:34:07,5,ozzie,54_mai_white,1743611639,0.000151403,0.151403282,0.810727684,398.92375,169.5551271,15.1760704,35.70576142,0.005961734,2.738196424,0.005954532,0.003722229,49.6180905,25.80646646,25.80646646,3.335809083,34.01351625,1.116603459,3.282822778,2.219205624,-6.676884749,-39.84643434,-3.098971154,-0.004199751,0,0,1,0,47497,300.0076875,252.9063868,0.842999688,0.165389397,6,0.5,0: Broadleaf,2,1743611639,398.92375,399.969,12.4752875,12.2958875,403.34475,12.5392875,500.0484375,89.4052625,0.09996605,25.53654375,25.0032375,999.9,0,0,10007.18375,0,181.6393125,-0.871612063,404.13875,404.9483125,0.178472813,399.969,12.2958875,1.115275625,1.09931875,8.516215,8.3037175,300.0076875,0.90000575,0.099994181,0,2.14100625,0,2477.34625,2548.743125,37.28875,41.4724375,39.0465,41.2499375,37.784875,270.00875,29.9975,0,1743611646,0,1743611665,11:34:25,1743611665,1743611665,1,-0.171,0.005,-4.421,-0.064,400,12,0.27,0.12,-0.836601429,0.013411636,0.14500372,1,0.178377619,0.002377714,0.000750186,1,2,2,2-Feb,3.13083,2.77801,0.0865479,0.0861938,0.0636269,0.0630573,34658.4,37115.4,34325,36807.5,45414.8,49494.6,53528.8,58776.7,1.97957,2.37297,0.0896044,0,23.5305,999.9,36.394,26.203,13.9037,54.2037,36.1098,2,-0.13705,-0.670667,20.1647,5.19887,12.0047,4.97565,3.29398,9999,999.9,9999,9999,1.86295,1.86783,1.86754,1.86874,1.86966,1.86567,1.86676,1.86816,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-4.421,-0.064,-3.121130054,-0.003392961,1.56E-06,-1.77E-10,-0.101273302,-0.024468374,0.002584718,-3.21E-05,3,2317,1,25,1222.6,1222.6,1.22437,2.58179,2.19849,2.65015,2.44507,2.33887,29.7297,15.9883,18,497.732,795.292,25.1728,25.5627,30,25.6088,25.5522,24.5407,-30,-30,25.1745,400,0,97.317,95.2622,NA
2,1743611757,110,20250402 11:35:57,11:35:57,5,ozzie,54_mai_white,1743611749,0.000149806,0.149806439,0.51021754,299.3196667,152.4194531,13.63908055,26.78427827,0.005931812,2.736313766,0.005924677,0.003703563,49.61841903,25.81715806,25.81715806,3.337923155,34.45635623,1.131818073,3.284787471,2.206105082,-6.606463977,-39.90981432,-3.106359941,-0.004219212,1,0,1,0,47584,300.009,252.907551,0.84299988,0.165389768,6,0.5,0: Broadleaf,2,1743611749,299.3196667,299.9857333,12.64829333,12.4708,303.4786667,12.70629333,500.0018,89.38387333,0.09998372,25.54662,24.99972,999.9,0,0,9998.378667,0,183.8366,-0.6902344,303.1301333,303.7741333,0.179384533,299.9857333,12.4708,1.130722667,1.114689333,8.71941,8.508465333,300.009,0.900009533,0.099990387,0,2.126906667,0,2479.952667,2548.756,37.65806667,41.79133333,39.4246,41.65806667,38.1374,270.012,30,0,1743611756,0,1743611783,11:36:23,1743611783,1743611775,2,0.025,0.001,-4.159,-0.058,300,13,0.26,0.09,-0.6826218,-0.138516992,0.021798549,0,0.1793786,0.000427398,0.000782637,1,1,2,2-Jan,3.13121,2.77804,0.0690383,0.0685433,0.0642996,0.0637516,35323.8,37834.8,34325.8,36809.9,45380.2,49458,53529.6,58779.8,1.9803,2.37173,0.0893883,0,23.5305,999.9,36.644,26.244,14.0331,54.1537,36.0938,2,-0.139149,-0.85881,20.1635,5.19767,12.0043,4.97585,3.294,9999,999.9,9999,9999,1.86295,1.86783,1.86752,1.86874,1.86966,1.86569,1.86676,1.86817,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-4.159,-0.058,-3.292198788,-0.003392961,1.56E-06,-1.77E-10,-0.09672536,-0.024468374,0.002584718,-3.21E-05,3,2317,1,25,1.5,1.5,0.977783,2.57812,2.19849,2.65015,2.44507,2.27905,29.7724,15.9795,18,497.885,793.584,25.1634,25.5347,29.9999,25.5746,25.5162,19.5868,-30,-30,25.2063,300,0,97.3187,95.2677,NA
3,1743611874,227,20250402 11:37:54,11:37:54,5,ozzie,54_mai_white,1743611866,0.00014908,0.149080372,0.214608999,199.7098125,135.1003104,12.08983473,17.87159942,0.005938774,2.734813476,0.005931618,0.003707904,49.61693493,25.83809513,25.83809513,3.342066473,34.94868815,1.149395778,3.288809506,2.192670695,-6.574444407,-39.93597047,-3.11075002,-0.004229967,1,0,1,0,47442,299.99825,252.898641,0.843000388,0.165390748,6,0.5,0: Broadleaf,2,1743611866,199.7098125,200.0030625,12.84415625,12.6675625,203.5308125,12.89815625,500.0139375,89.3877875,0.100050844,25.56723125,24.997375,999.9,0,0,9989.02125,0,183.8661875,-0.366761063,202.234625,202.5691875,0.180865938,200.0030625,12.6675625,1.148493125,1.132325625,8.950135625,8.74035375,299.99825,0.899989,0.100010963,0,2.1084125,0,2481.391875,2548.651875,37.859125,41.5075625,39.503625,41.2536875,38.2068125,269.995,30.00375,0,1743611873,0,1743611893,11:38:13,1743611890,1743611893,3,0.075,-0.001,-3.821,-0.054,200,13,0.22,0.21,-0.36251745,-0.075496015,0.018765437,1,0.18084165,0.002444526,0.000567243,1,2,2,2-Feb,3.13119,2.77792,0.0491579,0.0485448,0.0650758,0.0645589,36080.4,38650,34327.7,36812.3,45341.6,49415.5,53532.1,58783.5,1.98022,2.37162,0.0897944,0,23.5325,999.9,36.967,26.314,14.2155,54.6036,36.1498,2,-0.141435,-0.675727,20.1628,5.19917,12.0043,4.97575,3.294,9999,999.9,9999,9999,1.86295,1.86783,1.86752,1.86874,1.86966,1.86568,1.86676,1.86813,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-3.821,-0.054,-3.267068097,-0.003392961,1.56E-06,-1.77E-10,-0.095308507,-0.024468374,0.002584718,-3.21E-05,3,2317,1,25,1.5,1.6,0.716553,2.58179,2.19849,2.65015,2.44507,2.31445,29.8151,15.962,18,497.543,792.997,25.1387,25.509,29.9999,25.5426,25.4834,14.3779,-30,-30,25.1304,200,0,97.3235,95.2738,NA
4,1743611985,338,20250402 11:39:45,11:39:45,5,ozzie,54_mai_white,1743611977,0.000153142,0.153141553,-0.095739721,100.0793333,120.5322289,10.78601983,8.955759664,0.006174732,2.736027116,0.006167,0.003855069,49.61911367,25.7811704,25.7811704,3.330811899,35.52396054,1.164456962,3.277948022,2.166354937,-6.753542494,-39.7746993,-3.095062454,-0.004190576,1,0,1,0,47415,300.0132,252.9110916,0.84299988,0.165389768,6,0.5,0: Broadleaf,2,1743611977,100.0793333,99.98284,13.01264,12.83126667,103.6233333,13.06364,500.0143333,89.38658,0.100023933,25.51152,24.98631333,999.9,0,0,9996.371333,0,183.9268667,0.113035007,101.4160667,101.2825333,0.1864364,99.98284,12.83126667,1.163606667,1.146942667,9.143916,8.930129333,300.0132,0.900003333,0.099996527,0,2.216586667,0,2475.872667,2548.788,35.95393333,38.41226667,37.31226667,37.1914,36.12886667,270.012,30,0,1743611984,0,1743612003,11:40:03,1743612000,1743612003,4,-0.016,-0.001,-3.544,-0.051,100,13,0.18,0.18,0.114719305,-0.080712835,0.014610279,1,0.1864713,0.002392602,0.000691649,1,2,2,2-Feb,3.13129,2.77789,0.0263724,0.0255907,0.06571,0.0651596,36944.8,39584.4,34327.1,36813.7,45306.8,49383,53530.9,58786.5,1.98107,2.37155,0.0881031,0,23.5443,999.9,37.291,26.375,14.3929,54.1236,36.1779,2,-0.143026,-0.727141,20.1629,5.19917,12.0041,4.9757,3.29398,9999,999.9,9999,9999,1.86295,1.86783,1.86752,1.86874,1.86965,1.86568,1.86676,1.8682,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-3.544,-0.051,-3.192405326,-0.003392961,1.56E-06,-1.77E-10,-0.09590415,-0.024468374,0.002584718,-3.21E-05,3,2317,1,25,1.6,1.5,0.444336,2.59766,2.19849,2.64893,2.44507,2.30469,29.8578,15.9708,18,497.884,792.585,25.1347,25.4902,30.0001,25.5202,25.4607,8.92934,-30,-30,25.1438,100,0,97.3216,95.2782,NA
5,1743612086,439,20250402 11:41:26,11:41:26,5,ozzie,54_mai_white,1743612078,0.000157901,0.157900745,-0.2410851,50.2766375,107.1483542,9.58805223,4.498949423,0.006440103,2.736061641,0.006431694,0.004020563,49.6117821,25.72112977,25.72112977,3.318977167,36.04128078,1.177303273,3.266541164,2.141673895,-6.963422874,-39.57486823,-3.077637819,-0.004146827,1,0,1,0,47496,299.96425,252.8702227,0.8430012,0.165392316,6,0.5,0: Broadleaf,2,1743612078,50.2766375,49.99688125,13.15659375,12.96961875,53.6366375,13.20159375,500.0346875,89.38385625,0.100040188,25.4528375,24.9852,999.9,0,0,9996.88125,0,183.8780625,0.253296563,50.92021875,50.65384375,0.189073687,49.99688125,12.96961875,1.176175,1.159276875,9.303365,9.08860125,299.96425,0.899969625,0.100030363,0,2.09946875,0,2482.88,2548.34625,35.80425,39.3200625,37.4371875,38.0426875,36.2066875,269.95875,30.00875,0,1743612085,0,1743612109,11:41:49,1743612109,1743612104,5,0.026,0.002,-3.36,-0.045,50,13,0.26,0.14,0.25598965,-0.072304105,0.031849515,1,0.18902105,-0.000451714,0.000787434,1,2,2,2-Feb,3.13129,2.77788,0.013895,0.0130284,0.0662487,0.0656978,37419,40096.6,34327.4,36815,45279.1,49354.6,53531.4,58788.8,1.98135,2.3713,0.0879243,0,23.5444,999.9,37.535,26.415,14.5228,54.6736,36.1739,2,-0.143783,-0.852189,20.1639,5.19932,12.004,4.9756,3.294,9999,999.9,9999,9999,1.86295,1.86783,1.86752,1.86874,1.86963,1.86569,1.86676,1.86821,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-3.36,-0.045,-3.208925394,-0.003392961,1.56E-06,-1.77E-10,-0.096547783,-0.024468374,0.002584718,-3.21E-05,3,2317,1,25,1.4,1.4,0.306396,2.61353,2.19849,2.64893,2.44507,2.27539,29.8792,15.9708,18,497.914,792.101,25.3584,25.4774,30,25.5042,25.444,6.15937,-30,-30,25.3645,50,0,97.3225,95.2818,NA
6,1743612202,554.9000001,20250402 11:43:22,11:43:22,5,ozzie,54_mai_white,1743612194,0.000162988,0.162987882,1.077307987,398.6315625,130.4069934,11.66831783,35.66802398,0.006691255,2.736829609,0.00668218,0.004177177,49.61135198,25.7389113,25.7389113,3.322478287,36.54492853,1.195122528,3.270282844,2.127355759,-7.187765576,-39.36654056,-3.061147335,-0.004101496,1,0,1,0,47438,299.964625,252.8702839,0.84300035,0.165390676,6,0.5,0: Broadleaf,2,1743612194,398.6315625,400.0023125,13.35688125,13.16390625,402.9455625,13.39788125,499.9949375,89.376175,0.099991306,25.47210625,24.9879375,999.9,0,0,10002.30813,0,183.928125,-1.36555625,404.03575,405.3380625,0.1984365,400.0023125,13.16390625,1.194275625,1.176540625,9.530383125,9.307968125,299.964625,0.899989187,0.100010763,0,2.2049125,0,2469.485,2548.36375,36.3395625,40.452875,38.0738125,39.6676875,36.8395625,269.965,30,0,1743612201,0,1743612220,11:43:40,1743612220,1743612220,6,-0.002,-0.001,-4.314,-0.041,400,13,0.25,0.1,-1.373551905,0.096227151,0.028735284,1,0.19763,0.014214912,0.001491837,1,2,2,2-Feb,3.13141,2.77793,0.0865008,0.0861567,0.0670065,0.0664377,34663.3,37126.2,34327.5,36816.1,45250,49325.1,53532,58790.3,1.9815,2.37195,0.0878349,0,23.5444,999.9,37.785,26.445,14.6447,54.3237,36.1659,2,-0.144721,-0.808998,20.1642,5.19917,12.0041,4.9755,3.29388,9999,999.9,9999,9999,1.86295,1.86783,1.86753,1.86874,1.86964,1.86569,1.86676,1.86815,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-4.314,-0.041,-3.183423299,-0.003392961,1.56E-06,-1.77E-10,-0.094557819,-0.024468374,0.002584718,-3.21E-05,3,2317,1,25,1.5,1.6,1.22803,2.59644,2.19849,2.64893,2.44507,2.30835,29.922,15.962,18,497.873,792.456,25.3107,25.4645,30,25.4894,25.4274,24.6037,-30,-30,25.3128,400,0,97.3233,95.2844,NA
7,1743612282,634.9000001,20250402 11:44:42,11:44:42,5,ozzie,54_mai_white,1743612274,0.000165847,0.165847071,1.002700324,398.7186,152.5890521,13.65348951,35.67687296,0.006823465,2.736317453,0.006814026,0.004259613,49.61053771,25.75988229,25.75988229,3.326611544,36.76628544,1.203914364,3.274506383,2.122697181,-7.313855811,-39.24763366,-3.053127102,-0.004078869,1,0,1,0,47624,299.9596667,252.866107,0.84300036,0.165390695,6,0.5,0: Broadleaf,2,1743612274,398.7186,400.0012,13.45474,13.2584,403.0096,13.49474,499.9968667,89.37886667,0.099961147,25.49383333,24.99497333,999.9,0,0,9998.960667,0,183.9292667,-1.302391333,404.1389333,405.3758667,0.2028538,400.0012,13.2584,1.203151333,1.185021333,9.640600667,9.414684,299.9596667,0.899997667,0.100002287,0,2.126626667,0,2469.287333,2548.328,36.67873333,40.90393333,38.4412,40.39146667,37.2038,269.964,30,0,1743612281,0,1743612301,11:45:01,1743612300,1743612301,7,0.022,-0.002,-4.291,-0.04,400,13,0.29,0.23,-1.306321,0.02172812,0.02300829,1,0.20271875,0.005813729,0.000842111,1,2,2,2-Feb,3.13124,2.77806,0.0865152,0.0861526,0.0673794,0.0667974,34662.9,37126.7,34327.6,36816.5,45231.8,49306.5,53532.3,58791.2,1.9813,2.37195,0.0885352,0,23.5436,999.9,37.932,26.496,14.746,54.3336,36.238,2,-0.145404,-0.790645,20.1642,5.19872,12.0041,4.97565,3.29398,9999,999.9,9999,9999,1.86295,1.86783,1.86752,1.86874,1.86966,1.86569,1.86676,1.86815,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-4.291,-0.04,-3.185185479,-0.003392961,1.56E-06,-1.77E-10,-0.095182891,-0.024468374,0.002584718,-3.21E-05,3,2317,1,25,1,1,1.22803,2.59399,2.19849,2.64893,2.44507,2.30957,29.9433,15.9533,18,497.667,792.329,25.3123,25.4581,30.0001,25.4809,25.419,24.605,-30,-30,25.3129,400,0,97.3236,95.2856,NA
8,1743612393,745.9000001,20250402 11:46:33,11:46:33,5,ozzie,54_mai_white,1743612385,0.000169974,0.169974192,1.746112593,597.7647333,183.8908965,16.45376748,53.48542051,0.007015682,2.735416029,0.0070057,0.004379458,49.63071243,25.79361873,25.79361873,3.333270224,37.10753127,1.217593735,3.281257721,2.115676489,-7.495861861,-39.09555681,-3.043344676,-0.004050921,0,0,1,0,47657,300.0843333,252.970971,0.842999593,0.165389215,6,0.5,0: Broadleaf,2,1743612385,597.7647333,599.9820667,13.60809333,13.40689333,602.5307333,13.64109333,499.9836,89.37574,0.09996428,25.52851333,25.00864,999.9,0,0,9993.95,0,183.5560667,-2.131090667,606.1002,608.1354,0.2032914,599.9820667,13.40689333,1.216420667,1.198250667,9.804034667,9.579828667,300.0843333,0.9000046,0.099995347,0,2.159626667,0,2481.217333,2549.392667,37.125,41.3456,38.8874,41.06626667,37.6498,270.0766667,30.004,0,1743612392,0,1743612411,11:46:51,1743612411,1743612411,8,-0.082,0.002,-4.766,-0.033,600,13,0.45,0.11,-2.1472565,0.235631729,0.032966148,0,0.20274685,0.006419414,0.000832553,1,1,2,2-Jan,3.13141,2.77799,0.116465,0.116219,0.0679491,0.0673715,33528.2,35907.7,34329,36818.5,45208,49282.1,53533.7,58794.4,1.98202,2.3724,0.0887178,0,23.5424,999.9,38.158,26.536,14.8702,54.4836,36.2059,2,-0.146596,-0.660229,20.1648,5.19902,12.004,4.97565,3.29398,9999,999.9,9999,9999,1.86295,1.86783,1.86752,1.86874,1.86965,1.86568,1.86676,1.86813,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-4.766,-0.033,-3.163135609,-0.003392961,1.56E-06,-1.77E-10,-0.096700261,-0.024468374,0.002584718,-3.21E-05,3,2317,1,25,1.6,1.5,1.69678,2.58179,2.19849,2.64771,2.44507,2.29858,29.9861,15.9533,18,498.022,792.586,25.2303,25.4495,29.9999,25.4688,25.4081,33.9629,-30,-30,25.2277,600,0,97.3268,95.2909,NA
9,1743612498,850.9000001,20250402 11:48:18,11:48:18,5,ozzie,54_mai_white,1743612490,0.000167712,0.167712356,2.366607543,797.0184375,232.1436396,20.77103357,71.31316089,0.006956228,2.737671748,0.006946423,0.004342394,49.61651003,25.80613194,25.80613194,3.335742956,37.47715423,1.230611766,3.283631831,2.105131191,-7.396114904,-39.17691363,-3.047542929,-0.004061432,0,0,1,0,47401,299.997125,252.8975689,0.842999975,0.165389952,6,0.5,0: Broadleaf,2,1743612490,797.0184375,800.018875,13.75370625,13.5552125,801.8924375,13.78470625,499.9825625,89.37499375,0.0999262,25.54069375,25.0034375,999.9,0,0,10007.45063,0,183.3610625,-3.180839375,807.9558125,811.01225,0.205058125,800.018875,13.5552125,1.22982375,1.21149625,9.967548125,9.743573125,299.997125,0.90000025,0.0999997,0,2.09474375,0,2502.053125,2548.649375,37.503875,41.67925,39.2655,41.50775,38.003875,269.996875,29.999375,0,1743612497,0,1743612526,11:48:46,1743612526,1743612516,9,0.184,-0.001,-4.874,-0.031,800,14,0.48,0.07,-3.185029524,0.081618701,0.038686503,1,0.205240286,-0.002668597,0.000684544,1,2,2,2-Feb,3.13142,2.77793,0.141879,0.141708,0.0684983,0.0679374,32564.1,34872.5,34328.6,36818.1,45183.1,49254.5,53533.2,58794,1.98235,2.37277,0.0889078,0,23.5444,999.9,38.353,26.586,14.9897,54.7836,36.222,2,-0.146781,-0.663516,20.1649,5.19857,12.004,4.9757,3.29393,9999,999.9,9999,9999,1.86295,1.86783,1.86752,1.86874,1.86966,1.86568,1.86676,1.86813,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-4.874,-0.031,-3.2457835,-0.003392961,1.56E-06,-1.77E-10,-0.094289341,-0.024468374,0.002584718,-3.21E-05,3,2317,1,25,1.4,1.4,2.13501,2.58179,2.19849,2.64893,2.44507,2.30469,30.0076,15.9358,18,498.166,792.812,25.1465,25.4431,30,25.4617,25.4,42.7277,-30,-30,25.1475,800,0,97.3257,95.29,NA
10,1743612618,970.9000001,20250402 11:50:18,11:50:18,5,ozzie,54_mai_white,1743612610,0.000165378,0.165378239,2.955008135,996.261,284.3329178,25.44120948,89.14228079,0.006887356,2.736462664,0.00687774,0.00429945,49.61730925,25.82712888,25.82712888,3.339895759,37.82390553,1.243491187,3.287580088,2.096404573,-7.293180352,-39.27134282,-3.056871273,-0.004085202,0,0,1,0,47331,300.0027333,252.9022302,0.842999753,0.165389524,6,0.5,0: Broadleaf,2,1743612610,996.261,1000.0048,13.89735333,13.70165333,1001.344,13.92435333,499.9895333,89.37687333,0.09996134,25.56093333,25.002,999.9,0,0,10000.04733,0,183.4401333,-3.733657333,1010.317333,1013.898,0.200870467,1000.0048,13.70165333,1.242564,1.224610667,10.12154,9.904154,300.0027333,0.9000156,0.099984307,0,2.11906,0,2529.595333,2548.707333,37.9246,41.9958,39.6498,41.91633333,38.3666,270.0066667,29.998,0,1743612617,0,1743612636,11:50:36,1743612636,1743612636,10,-0.007,0,-5.083,-0.027,1000,14,0.76,0.1,-3.754954286,0.2691,0.050610192,0,0.201143333,-0.00722174,0.001165301,1,1,2,2-Jan,3.13162,2.77807,0.164287,0.164163,0.0690286,0.0684832,31714.1,33961.7,34328.1,36818.8,45159.4,49228.7,53533.4,58794.9,1.98272,2.37302,0.0897795,0,23.5444,999.9,38.579,26.626,15.113,54.6936,36.1819,2,-0.147109,-0.691694,20.1646,5.19902,12.004,4.9756,3.29398,9999,999.9,9999,9999,1.86295,1.86783,1.86752,1.86874,1.86965,1.86569,1.86676,1.86815,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-5.083,-0.027,-3.061464541,-0.003392961,1.56E-06,-1.77E-10,-0.095684277,-0.024468374,0.002584718,-3.21E-05,3,2317,1,25,1.5,1.7,2.55005,2.57446,2.19849,2.64771,2.44507,2.28638,30.029,15.9182,18,498.368,792.982,25.1234,25.441,30,25.4575,25.3958,51.051,-30,-30,25.1294,1000,0,97.3254,95.2917,NA
