obs,time,elapsed,date,hhmmss,averaging,id,machine,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,F:MN,F:SLP,F:SD,F:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r,NA
1,1743782576,0,20250404 11:02:55,11:02:55,5,2692_mai_pinkblue,albert,1743782568,0.000314679,0.314679075,1.245216851,398.3468,234.6809132,21.23718601,36.04794686,0.013176853,2.755417206,0.013141946,0.008216844,85.11363924,25.7806716,25.7806716,3.330713428,37.55857373,1.218333262,3.243821958,2.112380167,-13.87734721,-66.14165368,-5.106054875,-0.011416529,1,0,1,0,48129,477.5092667,392.2738626,0.8215,0.178245,6,0.5,0: Broadleaf,2,1743782568,398.3468,399.9914333,13.46315667,13.09063667,398.1508,13.44015667,500.0147667,90.39386333,0.100015027,25.33542333,25.02403667,999.9,0,0,9999.368333,0,177.4939333,-2.004364333,403.4193667,405.2971,0.375014833,399.9914333,13.09063667,1.217212,1.183312667,9.813744333,9.393251,300.0153333,0.900004967,0.09999493,0,1.919283333,0,1728.938333,2534.792667,36.28726667,40.4122,38.02053333,39.9622,36.879,270.015,30.00166667,0,1743782578,0,1743782593,11:03:12,1743782592,1743782593,1,0.36,0.003,0.196,0.023,400,13,0.23,0.1,-2.019407,0.22000728,0.044223364,1,1.946129412,0.052608098,0.184020658,-1,0.375663925,-0.012515561,0.001428873,1,2,2,2-Feb,3.13152,2.77781,0.0831223,0.0838435,0.071839,0.0705976,27788.2,26960.4,30832.7,29663.5,39479.8,36249.3,47137.4,44042.3,1.86758,1.9601,0.08066,0,23.7084,999.9,35.3,25.7,12.9448,64.0228,19.4271,1,-0.178778,-0.758448,20.2617,5.23721,11.968,4.973,3.291,9999,9999,9999,999.9,4.97274,1.87634,1.87437,1.87717,1.87402,1.87766,1.8747,1.8758,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,0.196,0.023,-0.360285949,0.00067337,-5.61E-07,2.77E-10,-0.066647259,-0.000554366,0.000592956,-3.10E-06,0,2134,1,26,1123,1123,1.05957,2.50122,1.39893,2.35718,1.44897,2.55737,30.9335,15.997,18,472.801,500.134,25.4042,24.7063,30.0003,24.432,24.4942,21.2455,-30,-30,25.4038,400,0,101.893,101.338,NA
2,1743782656,80.4000001,20250404 11:04:16,11:04:16,5,2692_mai_pinkblue,albert,1743782648,0.000313637,0.313636888,0.757659304,299.0562581,197.5936079,17.88186348,27.06404947,0.013206007,2.755372649,0.013170944,0.008234983,86.3026117,25.75160189,25.75160189,3.324978991,37.81993008,1.224128411,3.236728382,2.10085058,-13.83138677,-67.2899705,-5.193068479,-0.011814058,1,0,1,0,47975,484.1804839,397.7541957,0.821499852,0.178244714,6,0.5,0: Broadleaf,2,1743782648,299.0562581,300.0780323,13.52655161,13.15526774,299.0012581,13.50055161,499.9858387,90.39817742,0.100010597,25.29861613,25.00604516,999.9,0,0,9998.627419,0,184.1536129,-0.919249258,303.2618065,304.0783226,0.374305968,300.0780323,13.15526774,1.223048387,1.189211935,9.885096774,9.467176774,300.026871,0.899998935,0.100000871,0,2.005751613,0,1733.170968,2534.885161,36.71748387,40.76,38.26183871,40.48554839,37.19329032,270.023871,29.99935484,0,1743782659,0,1743782673,11:04:33,1743782672,1743782673,2,-0.103,0.002,0.055,0.026,300,13,0.44,0.09,-0.87586576,-0.15184098,0.28635793,1,1.975102941,-0.069593582,0.195883685,-1,0.3753085,-0.021783535,0.002285384,1,2,2,2-Feb,3.13151,2.77766,0.066331,0.0668487,0.0720897,0.0708647,28292.7,27454.2,30828.3,29656.9,39462.4,36230,47131,44033.1,1.86677,1.95882,0.0734664,0,23.7938,999.9,35.4,25.8,13.0578,64.5327,19.2348,1,-0.173316,-0.620566,20.2624,5.23945,11.968,4.9721,3.291,9999,9999,9999,999.9,4.97275,1.87635,1.87437,1.87719,1.874,1.87767,1.87471,1.87582,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,0.055,0.026,-0.000971273,0.00067337,-5.61E-07,2.77E-10,-0.063950207,-0.000554366,0.000592956,-3.10E-06,0,2134,1,26,1.1,1.1,0.847168,2.49268,1.39893,2.3584,1.44897,2.43652,30.9552,15.9795,18,472.701,499.694,25.0742,24.7724,30.0004,24.4787,24.5392,16.9912,-30,-30,25.0704,300,0,101.879,101.316,NA
3,1743782750,174.4000001,20250404 11:05:50,11:05:50,5,2692_mai_pinkblue,albert,1743782742,0.000317322,0.317321674,0.491862301,199.5320968,134.5356381,12.17690129,18.05976976,0.013443916,2.757192301,0.013407604,0.008383007,86.28407773,25.73665267,25.73665267,3.322033391,38.14961613,1.233804876,3.234121339,2.088228515,-13.99388583,-67.12570076,-5.176230967,-0.011739832,1,0,1,0,48231,484.0759032,397.6683381,0.821499966,0.178244935,6,0.5,0: Broadleaf,2,1743782742,199.5320968,200.1982903,13.63160645,13.25602258,199.6260968,13.60360645,500.0151935,90.41068065,0.099919139,25.28507097,25.00147742,999.9,0,0,10008.01613,0,184.0761613,-0.561737258,202.3964194,202.8877742,0.380142129,200.1982903,13.25602258,1.232854839,1.198486129,10.00431548,9.582755484,299.9997419,0.900005516,0.099994303,0,1.951441935,0,1739.92,2534.660968,37.50780645,41.127,38.46351613,40.96554839,37.50187097,270.0009677,29.99935484,0,1743782753,0,1743782773,11:06:12,1743782773,1743782767,3,-0.105,0,-0.094,0.028,200,13,0.5,0.29,-0.471234678,0.069853017,0.361670766,1,1.9532,-0.009830402,0.17092195,-1,0.379821075,0.005371373,0.001710524,1,2,2,2-Feb,3.13136,2.77785,0.0471782,0.047427,0.0725127,0.0712578,28864.5,28017.2,30819.5,29648.3,39432.9,36203.3,47119.1,44021,1.86548,1.95677,0.0693873,0,23.8889,999.9,35.5,25.8,13.0931,63.2927,19.2788,1,-0.163011,-1.42865,20.2567,5.23945,11.968,4.9731,3.291,9999,9999,9999,999.9,4.97276,1.87635,1.87439,1.87721,1.87401,1.87768,1.8747,1.87583,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-0.094,0.028,-0.103838017,0.00067337,-5.61E-07,2.77E-10,-0.061834907,-0.000554366,0.000592956,-3.10E-06,0,2134,1,26,1.3,1.3,0.623779,2.49634,1.39893,2.35718,1.44897,2.5415,30.9335,15.9795,18,472.615,499.089,25.4826,24.8888,30.0004,24.5659,24.623,12.5395,-30,-30,25.4518,200,0,101.852,101.288,NA
4,1743782843,267.4000001,20250404 11:07:23,11:07:23,5,2692_mai_pinkblue,albert,1743782835,0.000317034,0.317033814,-0.012550147,99.96293333,97.73063989,8.844791376,9.046817781,0.013497441,2.754874331,0.01346081,0.008416289,86.40978009,25.7252005,25.7252005,3.319778395,38.43103158,1.241969334,3.231683572,2.077809061,-13.9811912,-67.25078093,-5.189610451,-0.011802492,2,0,1,0,48014,484.7818667,398.2482186,0.821499825,0.178244662,6,0.5,0: Broadleaf,2,1743782835,99.96293333,99.98590333,13.72315667,13.34793333,100.1059333,13.69615667,499.9952,90.40169,0.10003378,25.27239667,24.99114667,999.9,0,0,9995.29,0,184.7746667,-0.026375331,101.3510333,101.3384667,0.3820032,99.98590333,13.34793333,1.24121,1.206674667,10.10522,9.684166333,300.0072,0.900003033,0.09999671,0,1.979376667,0,1754.281,2534.722333,37.81016667,41.437,38.86426667,41.34983333,37.81633333,270.008,29.997,0,1743782846,0,1743782861,11:07:41,1743782859,1743782861,4,0.004,-0.002,-0.143,0.027,100,13,0.69,0.16,-0.001892283,-0.397662823,0.049236783,1,1.978397059,-0.082354464,0.158163485,-1,0.3810026,0.024972135,0.002863135,1,2,2,2-Feb,3.13132,2.77781,0.025012,0.0250931,0.0728364,0.0715697,29527.5,28664.8,30811,29639.1,39407.3,36178.1,47107.2,44007.1,1.86405,1.9542,0.0657961,0,23.9157,999.9,35.7,25.8,13.1687,63.9227,19.3229,1,-0.154103,-0.863894,20.2611,5.23631,11.968,4.9729,3.291,9999,9999,9999,999.9,4.97275,1.87635,1.87439,1.87723,1.87399,1.87764,1.87469,1.8758,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-0.143,0.027,-0.208530584,0.00067337,-5.61E-07,2.77E-10,-0.061905043,-0.000554366,0.000592956,-3.10E-06,0,2134,1,26,1.2,1.3,0.393066,2.52686,1.39893,2.35718,1.44897,2.51465,30.9552,15.9708,18,472.547,498.237,25.1695,25.0147,30.0004,24.6655,24.7181,7.88955,-30,-30,25.1349,100,0,101.825,101.256,NA
5,1743782930,354.4000001,20250404 11:08:50,11:08:50,5,2692_mai_pinkblue,albert,1743782922,0.000325446,0.325446191,-0.217241147,50.22154194,72.99515839,6.606103364,4.545078117,0.013887208,2.754790726,0.013848433,0.008658745,86.74157219,25.73187576,25.73187576,3.321092629,38.60067481,1.247964602,3.233012396,2.073128028,-14.35217701,-67.21390933,-5.187276655,-0.011790809,2,0,1,0,48243,486.642871,399.7770738,0.821499908,0.178244823,6,0.5,0: Broadleaf,2,1743782922,50.22154194,49.98047097,13.78957742,13.40443548,50.46854194,13.76357742,500.0106129,90.40053871,0.100030216,25.27930645,24.99152581,999.9,0,0,9994.922581,0,186.6448387,0.315767806,50.99981935,50.65951935,0.391624065,49.98047097,13.40443548,1.247170323,1.211768065,10.17687097,9.746919677,299.9980323,0.900006355,0.099993377,0,1.970451613,0,1765.82129,2534.646774,37.59041935,41.663,39.19925806,41.68516129,38.05419355,270.0009677,29.99806452,0,1743782933,0,1743782948,11:09:08,1743782945,1743782948,5,-0.074,-0.001,-0.247,0.026,50,13,0.15,0.22,0.3328787,-0.353691017,0.037257241,1,1.970679412,-0.06036822,0.136969406,-1,0.391496925,0.002530435,0.00052981,1,2,2,2-Feb,3.13132,2.77775,0.0128576,0.0128027,0.0730468,0.0717739,29890.2,29021.6,30805.8,29634.7,39391.9,36163.9,47100.6,44000.6,1.86313,1.95262,0.0687204,0,23.8622,999.9,35.8,25.9,13.2854,63.5628,19.2067,1,-0.147256,-0.637715,20.2626,5.2402,11.968,4.9733,3.291,9999,9999,9999,999.9,4.97275,1.87629,1.87429,1.87714,1.87394,1.87759,1.87467,1.87576,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-0.247,0.026,-0.204898725,0.00067337,-5.61E-07,2.77E-10,-0.064138669,-0.000554366,0.000592956,-3.10E-06,0,2134,1,26,1.2,1.1,0.275879,2.54761,1.39893,2.35718,1.44897,2.49878,30.9552,15.962,18,472.624,497.904,25.1004,25.1101,30.0003,24.7479,24.7971,5.542,-30,-30,25.1031,50,0,101.809,101.241,NA
6,1743783028,451.9000001,20250404 11:10:27,11:10:27,5,2692_mai_pinkblue,albert,1743783020,0.00033533,0.33532993,1.474117928,398.0799,221.6422879,20.05755255,36.0243011,0.014345514,2.756027178,0.014304159,0.008943805,86.74398703,25.74759263,25.74759263,3.324188782,38.81911553,1.256417799,3.236595636,2.067770983,-14.78804991,-66.8126902,-5.154888313,-0.011641389,1,0,1,0,48243,486.6551,399.7872417,0.821500158,0.178245306,6,0.5,0: Broadleaf,2,1743783020,398.0799,400.0089667,13.88381333,13.48701667,397.9349,13.85481333,500.0157,90.39521333,0.099938767,25.29792667,24.97651,999.9,0,0,10002.82967,0,186.6805333,-2.156573667,403.4552,405.4776333,0.400163167,400.0089667,13.48701667,1.255335667,1.219162,10.27448667,9.837619,299.9745667,0.899983933,0.100015853,0,1.967393333,0,1725.703667,2534.431,37.72886667,41.875,39.45813333,41.94966667,38.29966667,269.9713333,30.00033333,0,1743783030,0,1743783046,11:10:45,1743783044,1743783046,6,0.227,0.002,0.145,0.029,400,14,0.28,0.17,-2.18329561,0.472692125,0.05799261,1,1.949288235,0.197029792,0.189150309,-1,0.399725756,0.008190544,0.001018785,1,2,2,2-Feb,3.13122,2.77774,0.0830083,0.083759,0.0733857,0.0720799,27761.7,26930.9,30801.9,29630.6,39377.9,36152.5,47095,43995.3,1.86248,1.95217,0.0726432,0,23.7888,999.9,35.9,25.9,13.3218,63.5528,19.0705,1,-0.141931,-0.841473,20.2615,5.23526,11.968,4.9726,3.291,9999,9999,9999,999.9,4.97274,1.87625,1.87433,1.87714,1.87393,1.87759,1.87467,1.87576,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,0.145,0.029,-0.279041015,0.00067337,-5.61E-07,2.77E-10,-0.065535805,-0.000554366,0.000592956,-3.10E-06,0,2134,1,26,1.4,1.3,1.06201,2.5061,1.39893,2.35718,1.44897,2.46826,30.9769,15.9708,18,472.769,498.245,25.3614,25.1808,30.0004,24.8192,24.8673,21.2917,-30,-30,25.3756,400,0,101.797,101.228,NA
7,1743783107,530.9000001,20250404 11:11:46,11:11:46,5,2692_mai_pinkblue,albert,1743783099,0.00034027,0.340270383,1.430639089,398.1092258,228.9409446,20.7160781,36.02353362,0.014576644,2.754817825,0.01453393,0.009087533,86.73100577,25.75376168,25.75376168,3.325404744,38.93127331,1.26060502,3.23802669,2.064799724,-15.00592389,-66.59589037,-5.140768181,-0.011576663,1,0,1,0,48161,486.5837097,399.7284618,0.821499885,0.178244779,6,0.5,0: Broadleaf,2,1743783099,398.1092258,399.9885484,13.93140645,13.52877097,397.9982258,13.90240645,500.0005484,90.38654839,0.100009787,25.30535806,24.99483548,999.9,0,0,9996.63,0,186.6249677,-1.846267742,403.7697419,405.474,0.408630516,399.9885484,13.52877097,1.259752581,1.222819677,10.32708065,9.882294516,299.9587419,0.900005323,0.099994716,0,1.965212903,0,1720.811613,2534.313871,37.55416129,39.8243871,38.23164516,38.99374194,37.05619355,269.9648387,29.99354839,0,1743783109,0,1743783128,11:12:08,1743783128,1743783125,7,-0.033,-0.001,0.111,0.029,400,14,0.67,0.17,-1.8468585,-0.037672795,0.029047328,1,1.989814706,-0.255604274,0.176119792,-1,0.408312025,0.005454765,0.00085008,1,2,2,2-Feb,3.13119,2.77778,0.0830014,0.0837482,0.0735636,0.0722323,27760.2,26928.9,30800.2,29628.3,39369.1,36143.8,47093.7,43992,1.86187,1.95173,0.0760481,0,23.7573,999.9,35.9,25.9,13.3222,63.7227,19.0585,1,-0.13924,-0.771914,20.2602,5.24035,11.968,4.9733,3.291,9999,9999,9999,999.9,4.97272,1.87629,1.87435,1.87714,1.87399,1.87761,1.87469,1.87578,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,0.111,0.029,-0.052543549,0.00067337,-5.61E-07,2.77E-10,-0.063582662,-0.000554366,0.000592956,-3.10E-06,0,2134,1,26,1.1,1,1.06201,2.50488,1.39893,2.35718,1.44897,2.5,30.9985,15.962,18,472.77,498.368,25.3945,25.2194,30.0003,24.8658,24.9138,21.2938,-30,-30,25.3279,400,0,101.793,101.221,NA
8,1743783204,627.9000001,20250404 11:13:23,11:13:23,5,2692_mai_pinkblue,albert,1743783196,0.000342103,0.342102798,2.27000489,597.0230667,332.9259333,30.12251211,54.01752388,0.014753728,2.754989647,0.014709973,0.009197654,86.75499058,25.7200265,25.7200265,3.318760043,39.23400834,1.267888576,3.231606021,2.050871468,-15.0867334,-66.54502258,-5.134789548,-0.011554949,1,0,1,0,47974,486.7173333,399.8383202,0.821500063,0.178245122,6,0.5,0: Broadleaf,2,1743783196,597.0230667,599.9922333,14.01320667,13.60842667,596.7070667,13.98320667,499.9884,90.37814333,0.09997534,25.27199333,24.9831,999.9,0,0,9998.576667,0,186.7297667,-3.110203333,605.3684333,608.2699,0.409887033,599.9922333,13.60842667,1.266949333,1.229904,10.41239,9.968530667,299.9875667,0.8999947,0.1000053,0,2.04316,0,1730.015333,2534.55,35.42066667,38.0664,36.76633333,36.77053333,35.6122,269.9873333,30,0,1743783206,0,1743783222,11:13:42,1743783222,1743783221,8,0.14,0.001,0.316,0.03,600,14,0.53,0.14,-3.135370732,0.423815122,0.062427019,1,2.018070588,0.520528644,0.159758709,-1,0.410031902,0.00209492,0.000985771,1,2,2,2-Feb,3.13116,2.7778,0.111516,0.112594,0.0738647,0.0725293,26895.3,26078.8,30798.5,29625.9,39356.5,36131.3,47091.6,43988.6,1.86187,1.95145,0.0741705,0,23.7758,999.9,36,25.9,13.3596,63.7427,19.2027,1,-0.135793,-0.862399,20.2615,5.23855,11.9682,4.97335,3.291,9999,9999,9999,999.9,4.97275,1.87637,1.87439,1.87724,1.87403,1.87771,1.87473,1.87587,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,0.316,0.03,-0.085884594,0.00067337,-5.61E-07,2.77E-10,-0.064610889,-0.000554366,0.000592956,-3.10E-06,0,2134,1,26,1.3,1.3,1.46484,2.50854,1.39893,2.35718,1.44897,2.5708,30.9985,15.962,18,473.118,498.666,25.4416,25.2614,30.0003,24.9167,24.9667,29.3375,-30,-30,25.4514,600,0,101.788,101.213,NA
9,1743783299,723.4000001,20250404 11:14:59,11:14:59,5,2692_mai_pinkblue,albert,1743783291,0.000342262,0.342261615,2.965774071,796.0984516,451.9390769,40.89085855,72.02995015,0.014818644,2.755173088,0.014774507,0.009238022,86.7555212,25.72263188,25.72263188,3.319272803,39.49431632,1.276503804,3.232120271,2.042769,-15.09373722,-66.53920088,-5.134134699,-0.011551594,1,0,1,0,47943,486.7201935,399.8406806,0.821500085,0.178245165,6,0.5,0: Broadleaf,2,1743783291,796.0984516,799.9841935,14.10833548,13.70343226,795.8974516,14.07533548,500.0200323,90.37869355,0.1000029,25.27466774,25.00469677,999.9,0,0,9999.601613,0,186.7379032,-3.712406129,807.6700323,811.0990968,0.408951032,799.9841935,13.70343226,1.27545871,1.238497742,10.51273548,10.07254516,299.9822903,0.899997,0.100003,0,2.037641935,0,1763.581613,2534.507097,36.08241935,39.67322581,37.4473871,38.61870968,36.38880645,269.9829032,30,0,1743783302,0,1743783321,11:15:21,1743783321,1743783317,9,-0.175,0.001,0.201,0.033,800,14,0.65,0.16,-3.7294615,0.318335235,0.051867918,1,2.056438235,0.088172654,0.169064688,-1,0.4091042,-0.005540353,0.000772337,1,2,2,2-Feb,3.13113,2.77781,0.135631,0.136938,0.0742124,0.0728946,26163.7,25359.9,30796.7,29622,39341.4,36113.9,47089.2,43982.8,1.86125,1.9513,0.0708662,0,23.8399,999.9,36.1,25.9,13.3991,63.9228,19.0505,1,-0.132058,-0.691743,20.2624,5.23945,11.968,4.97185,3.291,9999,9999,9999,999.9,4.97275,1.87635,1.87438,1.87719,1.87402,1.87768,1.8747,1.87585,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,0.201,0.033,0.05436627,0.00067337,-5.61E-07,2.77E-10,-0.063991942,-0.000554366,0.000592956,-3.10E-06,0,2134,1,26,1.3,1.3,1.84326,2.49023,1.39893,2.35718,1.44897,2.54395,31.0202,15.9533,18,473.155,499.07,25.3296,25.3095,30.0002,24.9706,25.022,36.9162,-30,-30,25.3273,800,0,101.783,101.199,NA
10,1743783395,819.4000001,20250404 11:16:35,11:16:35,5,2692_mai_pinkblue,albert,1743783387,0.000337647,0.337646547,3.594381043,995.3146129,573.1665234,51.86151033,90.05850302,0.014663836,2.755679844,0.014620624,0.009141762,86.7516499,25.73511248,25.73511248,3.321730042,39.74091838,1.285339079,3.234296367,2.036390962,-14.8902127,-66.72491682,-5.148133186,-0.011612806,1,0,1,0,48106,486.699129,399.8233157,0.821499961,0.178244925,6,0.5,0: Broadleaf,2,1743783387,995.3146129,1000.03129,14.20539677,13.80596452,995.0686129,14.17039677,499.984871,90.38249677,0.099951539,25.28598065,25.01469355,999.9,0,0,10002.18065,0,186.675,-4.696364516,1009.683226,1014.03129,0.404017548,1000.03129,13.80596452,1.284333226,1.247818387,10.61676452,10.1846129,300.024129,0.899998161,0.100001726,0,2.011680645,0,1799.803871,2534.86129,36.81019355,40.46341935,37.85051613,39.76590323,36.83641935,270.0222581,30.0016129,0,1743783398,0,1743783412,11:16:52,1743783412,1743783412,10,-0.023,0,0.246,0.035,1000,14,0.52,0.09,-4.702436,0.249838874,0.043636952,1,2.039055882,-0.366265856,0.180259209,-1,0.4040971,0.001707895,0.000948565,1,2,2,2-Feb,3.13105,2.77767,0.156778,0.158268,0.0745703,0.0732875,25520.3,24728.6,30792.8,29616.6,39323.2,36094.2,47083.9,43975.8,1.86062,1.95093,0.069622,0,23.8695,999.9,36.3,26,13.5516,63.7428,19.2228,1,-0.127645,-0.567623,20.2626,5.23915,11.968,4.97275,3.291,9999,9999,9999,999.9,4.97273,1.87627,1.87432,1.87714,1.87394,1.87759,1.87468,1.87576,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,0.246,0.035,-0.120340275,0.00067337,-5.61E-07,2.77E-10,-0.062810487,-0.000554366,0.000592956,-3.10E-06,0,2134,1,26,1.2,1.3,2.20459,2.49634,1.39893,2.35718,1.44897,2.56836,31.0202,15.9533,18,473.219,499.346,25.2506,25.3663,30.0002,25.0284,25.0798,44.1206,-30,-30,25.245,1000,0,101.771,101.182,NA
