obs,time,elapsed,date,hhmmss,averaging,id,machine,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Qmax_d,Fo,Fm,Fv/Fm,A_dark,LightAdaptedID,Qmax,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,A_fs,ETR,PhiCO2,NPQ,alt._Fo',DarkPulseID,Fmin,Fo',Fv'/Fm',qP,qN,qP_Fo,qN_Fo,qL,1-qL,ID,P1_dur,P1_Fmax,T@P1_Fmax,Q@P1_Fmax,P1_PredF,P1_ΔF,P2_dur,P2_ramp,P2_int,P2_int_se,P2_slp,P2_slp_se,P2_R2,P2_dQdt,P3_dur,P3_Fmax,T@P3_Fmax,Q@P3_Fmax,P3_PredF,P3_ΔF,ID,Dur,DCo,InitSlope,Fo,F1,T@F1,T@HIR,F2,T@F2,DCmax,T@DCmax,PhiPS2_dc,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,F:MN,F:SLP,F:SD,F:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r,NA
1,1743783701,0,20250404 11:21:41,11:21:41,5,5052_mai_purple,stan,1743783693,0.000103778,0.103778337,0.356029225,399.8263871,273.4015125,24.74837169,36.19238221,0.004952015,2.845028718,0.004947231,0.003092449,49.61613904,25.6110942,24.99957742,3.179597482,40.934345,1.328027759,3.244287307,1.851569723,-4.576624643,51.88242386,3.863946763,100.785885,0,0,1,0,48101,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,299.9981935,252.8981859,0.842999029,0.165388126,2,0.5,0: Broadleaf,2,1743783693,399.8263871,399.9853871,14.67105806,14.63015806,400.9063871,14.63705806,500.0283548,90.42020968,0.100034558,25.33783548,24.99957742,999.9,0,0,9997.092903,0,174.9596452,-0.343055,405.5923548,405.9242258,0.039839758,399.9853871,14.63015806,1.326464516,1.322862258,11.10212258,11.06114194,299.9981935,0.900024774,0.099975223,0,2.187690323,0,1026.85871,2812.399677,36.7113871,41.32012903,38.69512903,41.70545161,37.2113871,270.0070968,29.99,0,1743783701,0,2.189884615,0.278297447,-0.910085507,1026.816923,15,1743783717,11:21:57,1743783716,1743783717,2,0.184,0.001,-1.08,0.034,400,15,0.56,0.1,-0.345729902,0.140686244,0.030943983,1,2.208076471,-0.146190985,0.196539109,-1,0.039847037,-0.003989001,0.000894973,1,2,2,2-Feb,3.13486,2.76027,0.0912005,0.0901876,0.0753206,0.0743572,29147.6,29147.2,29797.8,29594.2,36453.6,36303.1,41977.9,42052.4,1.94713,1.926,0.0885166,0,23.5543,999.9,37.6,26.6,14.536,62.3503,28.75,1,-0.115902,-0.515381,20.4112,5.22418,12.0102,4.9926,3.2898,9999,9999,9999,999.9,1.86699,1.86615,1.86554,1.86554,1.86737,1.86996,1.86856,1.86999,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-1.08,0.034,-0.425573239,-0.002150082,2.08E-07,-1.53E-10,-0.052903549,-0.002722057,0.000786767,-1.37E-05,4,2345,1,26,15,15,0.996094,2.25708,1.39648,2.36206,1.49536,2.6355,30.8686,15.9445,18,482.586,459.726,24.9328,26.0173,30.0002,25.9009,25.83,19.9541,-30,-30,24.9328,400,0,101.906,101.114,NA
2,1743783789,87.5,20250404 11:23:08,11:23:08,5,5052_mai_purple,stan,1743783781,0.000111655,0.111655475,0.158679851,299.9219667,243.1847186,22.01287832,27.14868678,0.005334592,2.845559163,0.005329043,0.00333115,49.62067553,25.63615312,25.02311667,3.184062444,41.07729444,1.334821897,3.249537037,1.849240548,-4.924006465,52.45233979,3.906659967,101.0556688,0,0,1,0,48119,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,300.0219667,252.9185399,0.843000073,0.165390142,2,0.5,0: Broadleaf,2,1743783781,299.9219667,299.9988333,14.74629,14.70228667,300.7249667,14.71129,500.0029,90.41916667,0.100000987,25.36502667,25.02311667,999.9,0,0,10000.45933,0,175.6114,-0.147488513,304.3392,304.4752333,0.04420109,299.9988333,14.70228667,1.333365,1.329367667,11.18030333,11.13505333,300.0219667,0.900001167,0.099998567,0,2.1801,0,1024.651333,2812.599333,36.51846667,40.00606667,38.42053333,40.09146667,36.61233333,270.0196667,30.003,0,1743783788,0,2.17544,-0.177892327,-0.183846126,1024.6516,15,1743783806,11:23:25,1743783806,1743783805,3,0.071,0,-0.803,0.035,300,15,0.28,0.09,-0.124228195,-0.338120013,0.059847031,1,2.200726471,-0.59986097,0.199455396,-1,0.04408739,-0.000327163,0.001211092,1,2,2,2-Feb,3.13483,2.76025,0.0726148,0.0717836,0.0755979,0.0746104,29742.9,29736.4,29797.3,29594,36442,36292.7,41977.6,42052.4,1.94657,1.92498,0.0885054,0,23.5657,999.9,37.7,26.6,14.5764,62.3503,28.7861,1,-0.115091,-0.330912,20.4097,5.22642,12.0101,4.9917,3.28955,9999,9999,9999,999.9,1.86702,1.86615,1.86557,1.86556,1.86737,1.86996,1.86859,1.86999,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-0.803,0.035,-0.241756503,-0.002150082,2.08E-07,-1.53E-10,-0.051512664,-0.002722057,0.000786767,-1.37E-05,4,2345,1,26,1.2,1.2,0.797119,2.24976,1.39648,2.36206,1.49536,2.59277,30.8902,15.927,18,482.379,459.211,24.8464,26.0305,30.0001,25.9168,25.845,15.9688,-30,-30,24.823,300,0,101.905,101.114,NA
3,1743783875,174,20250404 11:24:35,11:24:35,5,5052_mai_purple,stan,1743783867,9.92E-05,0.099228194,-0.271355948,200.0919,283.2122411,25.63679967,18.11262089,0.004765608,2.845290141,0.004761178,0.002976134,49.61874594,25.57352592,25.00133,3.179929726,41.41317722,1.340466656,3.23681192,1.83946307,-4.375963338,45.66884338,3.400243672,94.31186966,0,0,1,0,48085,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,300.0112333,252.9094117,0.842999807,0.165389627,2,0.5,0: Broadleaf,2,1743783867,200.0919,199.9913,14.80826667,14.76916333,200.7869,14.77326667,500.0023667,90.42150333,0.100006487,25.29905,25.00133,999.9,0,0,9998.552,0,175.5518333,0.200560433,203.2009667,202.9891333,0.03984855,199.9913,14.76916333,1.339053333,1.335450333,11.2445,11.20386667,300.0112333,0.8999997,0.10000044,0,2.213566667,0,1024.833,2812.497,35.41226667,38.0748,37.07893333,37.3956,35.37466667,270.0103333,29.999,0,1743783875,0,2.192380769,0.28089914,-0.460512817,1024.838077,15,1743783901,11:25:00,1743783901,1743783891,4,-0.1,-0.001,-0.695,0.035,200,15,0.2,0.11,0.23383975,-0.481262319,0.066350808,1,2.160129412,0.627025206,0.196774893,-1,0.040085863,-0.005965672,0.000778893,1,2,2,2-Feb,3.13489,2.76029,0.0513952,0.0507377,0.0758321,0.0748625,30422.3,30409,29796.2,29592.5,36430.4,36280.8,41975.4,42050.6,1.94662,1.92447,0.0852011,0,23.6039,999.9,37.8,26.6,14.6133,62.3203,28.9463,1,-0.113521,-0.868282,20.4069,5.22687,12.0107,4.9921,3.28958,9999,9999,9999,999.9,1.86703,1.86615,1.86557,1.86557,1.86737,1.86996,1.86857,1.87,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-0.695,0.035,-0.170602457,-0.002150082,2.08E-07,-1.53E-10,-0.051674519,-0.002722057,0.000786767,-1.37E-05,4,2345,1,26,1.2,1.2,0.5896,2.27661,1.39771,2.36084,1.49536,2.58057,30.9335,15.9182,18,482.55,459.048,24.5592,26.0458,30.0004,25.9335,25.8631,11.782,-30,-30,24.7128,200,0,101.901,101.109,NA
4,1743783970,269,20250404 11:26:10,11:26:10,5,5052_mai_purple,stan,1743783962,0.00011398,0.113979851,-0.485670083,100.1755667,236.0970779,21.37284265,9.068458803,0.005496521,2.845105072,0.005490628,0.003432171,49.61616543,25.53938564,24.99782,3.179264352,41.69061459,1.347024464,3.231001696,1.832239888,-5.026511428,41.57201911,3.094893585,89.25656669,0,0,1,0,48096,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,299.9924333,252.8938373,0.84300072,0.16539139,2,0.5,0: Broadleaf,2,1743783962,100.1755667,99.98586667,14.88003,14.83511667,100.7355667,14.84303,500.0022,90.42565,0.100005153,25.26885,24.99782,999.9,0,0,9996.959333,0,175.7285667,0.2643155,101.7643667,101.4916,0.043848033,99.98586667,14.83511667,1.345439333,1.341473667,11.31629667,11.27175333,299.9924333,0.89998,0.10001984,0,2.213063333,0,1023.416,2812.304333,35.7624,39.71226667,37.64566667,39.1248,36.12073333,269.988,30.00666667,0,1743783970,0,2.195169231,-0.017736758,0.018461545,1023.426923,15,1743783987,11:26:27,1743783985,1743783987,5,-0.076,0.001,-0.56,0.037,100,15,0.18,0.14,0.287080725,-0.38846158,0.043684497,1,2.206755882,-0.09432086,0.18490803,-1,0.043613955,0.004852895,0.00067126,1,2,2,2-Feb,3.13483,2.76024,0.0269287,0.0265151,0.0760866,0.0750911,31205.8,31183.4,29795.2,29591.1,36419.2,36269.5,41974.8,42048.6,1.94587,1.92323,0.0840053,0,23.6158,999.9,37.9,26.7,14.7398,62.2103,28.7901,1,-0.111936,-0.362898,20.4114,5.22702,12.0104,4.9927,3.28978,9999,9999,9999,999.9,1.86701,1.86615,1.86556,1.86555,1.86737,1.86996,1.86856,1.86998,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-0.56,0.037,-0.270746095,-0.002150082,2.08E-07,-1.53E-10,-0.05229796,-0.002722057,0.000786767,-1.37E-05,4,2345,1,26,1.2,1.3,0.371094,2.30957,1.39648,2.35962,1.49536,2.49146,30.9769,15.9095,18,482.271,458.447,24.7311,26.0678,30.0002,25.9553,25.8847,7.43538,-30,-30,24.7348,100,0,101.898,101.105,NA
5,1743784054,353,20250404 11:27:34,11:27:34,5,5052_mai_purple,stan,1743784046,0.000119964,0.119964119,-0.550757783,50.21313226,198.0510363,17.93097774,4.546154232,0.00580513,2.84554437,0.005798558,0.003624689,49.62215944,25.5458984,24.9874,3.177289798,41.79483591,1.351044228,3.232562584,1.82624557,-5.29041767,44.42229427,3.306537993,92.06057404,0,0,1,0,48168,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,300.029129,252.9247329,0.84300059,0.165391139,2,0.5,0: Broadleaf,2,1743784046,50.21313226,49.99523226,14.92253871,14.87526774,50.72613226,14.88553871,499.9853226,90.43717419,0.099982668,25.27696774,24.9874,999.9,0,0,9998.377419,0,175.5797742,0.276095032,51.03289677,50.75014194,0.04792669,49.99523226,14.87526774,1.349612581,1.345277419,11.36302258,11.31446774,300.029129,0.899989,0.100010987,0,2.302367742,0,1023.488387,2812.655484,36.141,40.54006452,38.09045161,40.41309677,36.60670968,270.0222581,30.00903226,0,1743784054,0,2.275180769,-0.616933344,-1.081709399,1023.452308,15,1743784071,11:27:50,1743784071,1743784071,6,-0.058,-0.001,-0.513,0.037,50,15,0.46,0.13,0.29738075,-0.326042409,0.053302936,1,2.303429412,-0.329824299,0.160944328,-1,0.047913098,0.002699634,0.000773028,1,2,2,2-Feb,3.13472,2.76027,0.0136933,0.0133707,0.076283,0.0752698,31630.6,31604.5,29795.7,29591.1,36411.3,36262.1,41975,42048.5,1.94377,1.9214,0.0842549,0,23.6078,999.9,38,26.7,14.7618,62.3304,28.7861,1,-0.110546,-0.495223,20.4111,5.22747,12.0101,4.99275,3.28973,9999,9999,9999,999.9,1.86706,1.86617,1.86557,1.86559,1.86737,1.86996,1.86859,1.87004,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-0.513,0.037,-0.346269178,-0.002150082,2.08E-07,-1.53E-10,-0.051057831,-0.002722057,0.000786767,-1.37E-05,4,2345,1,26,1.1,1.1,0.263672,2.323,1.39648,2.3584,1.49536,2.65991,31.0419,15.9095,18,481.139,457.462,24.881,26.0854,30.0001,25.9737,25.9031,5.29097,-30,-30,24.8823,50,0,101.899,101.105,NA
6,1743784146,444.5,20250404 11:29:05,11:29:05,5,5052_mai_purple,stan,1743784138,0.000116618,0.116618247,1.065670584,399.5517097,90.1286927,8.164071459,36.19234466,0.005663491,2.846528026,0.005657238,0.003536335,49.61604581,25.55852872,24.98542581,3.176915816,41.93018187,1.35637617,3.234844471,1.820539646,-5.142864681,46.56087159,3.464696087,94.4987488,0,0,1,0,48098,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,299.994129,252.8950595,0.843000029,0.165390056,2,0.5,0: Broadleaf,2,1743784138,399.5517097,399.9965806,14.97395161,14.92800645,400.5687097,14.93795161,500.0396452,90.48236452,0.100015132,25.28882903,24.98542581,999.9,0,0,9999.410645,0,175.5671935,-0.669757806,405.398,406.0581935,0.047673352,399.9965806,14.92800645,1.355035161,1.35072,11.42357419,11.37542258,299.994129,0.90000829,0.099991703,0,2.321483871,0,1015.343871,2812.345806,36.53,41.10467742,38.5,41.3526129,37.034,269.9970968,30,0,1743784145,0,2.319180769,-0.020208542,-3.212991485,1015.307692,15,1743784162,11:29:22,1743784162,1743784162,7,0.226,-0.001,-1.017,0.036,400,15,0.25,0.18,-0.688526707,-0.054680571,0.238802497,1,2.320620588,0.342039725,0.200369592,-1,0.047000444,0.016748026,0.002147302,1,2,2,2-Feb,3.13473,2.76019,0.0911796,0.0903055,0.0764523,0.0754309,29145.1,29138.6,29795.2,29589.8,36405.7,36256,41974.6,42047.3,1.94552,1.9253,0.0845864,0,23.591,999.9,38,26.7,14.7738,62.2904,28.7179,1,-0.109494,-0.492892,20.4113,5.22717,12.0104,4.9926,3.2899,9999,9999,9999,999.9,1.86705,1.86618,1.8656,1.8656,1.86737,1.86996,1.86859,1.87004,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-1.017,0.036,-0.404170128,-0.002150082,2.08E-07,-1.53E-10,-0.051607786,-0.002722057,0.000786767,-1.37E-05,4,2345,1,26,1.2,1.2,0.997314,2.2583,1.39648,2.3584,1.49536,2.63794,31.0853,15.9007,18,482.329,460.022,24.8538,26.0986,30.0002,25.9881,25.9185,19.9753,-30,-30,24.8578,400,0,101.898,101.101,NA
7,1743784223,522,20250404 11:30:23,11:30:23,5,5052_mai_purple,stan,1743784215,0.000117331,0.117331254,0.701999768,399.708129,192.6657121,17.44488432,36.19150493,0.005698957,2.845499161,0.005692623,0.003558458,49.61711883,25.58905205,24.9996871,3.179618274,41.97107649,1.36017438,3.240742182,1.819443894,-5.174308316,49.05397147,3.652357684,97.14913967,0,0,1,0,48109,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,300.0043548,252.9033595,0.842998961,0.165387995,2,0.5,0: Broadleaf,2,1743784215,399.708129,400.0076774,15.02210968,14.97588387,400.705129,14.98510968,500.0180645,90.44482581,0.100005048,25.31945161,24.9996871,999.9,0,0,9997.254516,0,175.5874839,-0.31921871,405.7841935,406.0892903,0.046257084,400.0076774,14.97588387,1.358676129,1.354491935,11.4641129,11.41752581,300.0043548,0.900033,0.099967,0,2.306874194,0,1012.290968,2812.464839,36.81406452,41.44919355,38.802,41.915,37.34045161,270.013871,29.99,0,1743784223,0,2.301403846,-0.352994871,-1.002393166,1012.292308,15,1743784241,11:30:41,1743784241,1743784239,8,0.02,0.001,-0.997,0.037,400,15,0.49,0.18,-0.309914098,-0.17484301,0.042027242,1,2.291158824,0.025671505,0.211315823,-1,0.046153863,0.001641347,0.000604574,1,2,2,2-Feb,3.13488,2.76027,0.0911737,0.0901803,0.0766284,0.0756165,29144.4,29143.2,29794.3,29590.3,36397.6,36249.8,41973.3,42048.6,1.94578,1.92302,0.0864379,0,23.5761,999.9,38.1,26.7,14.8142,62.2304,28.9223,1,-0.10906,-0.46366,20.4115,5.22702,12.0102,4.993,3.28978,9999,9999,9999,999.9,1.86705,1.86616,1.86563,1.86556,1.86737,1.86996,1.86859,1.8701,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-0.997,0.037,-0.178635066,-0.002150082,2.08E-07,-1.53E-10,-0.052843888,-0.002722057,0.000786767,-1.37E-05,4,2345,1,26,1,1,0.997314,2.27417,1.39648,2.3584,1.49536,2.52441,31.107,15.8832,18,482.573,458.672,24.8832,26.1052,30,25.9989,25.9272,19.9813,-30,-30,24.8833,400,0,101.895,101.104,NA
8,1743784317,615.5,20250404 11:31:56,11:31:56,5,5052_mai_purple,stan,1743784309,0.000113625,0.113625053,1.338845891,599.4237333,198.6448338,17.98566623,54.27292013,0.005531093,2.845846153,0.005525128,0.00345374,49.61579113,25.59934473,24.99871333,3.179433685,42.07029633,1.364147535,3.242543206,1.81528615,-5.010864854,50.6426091,3.77034017,99.01787554,0,0,1,0,48122,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,299.9894,252.8913462,0.84300094,0.165391814,2,0.5,0: Broadleaf,2,1743784309,599.4237333,599.9865333,15.06649,15.02172333,600.6057333,15.03249,499.9841667,90.44185333,0.099973947,25.32879333,24.99871333,999.9,0,0,9999.709667,0,175.7516667,-0.789021733,608.3661,609.1367667,0.04916154,599.9865333,15.02172333,1.363039333,1.358593333,11.51257333,11.46319667,299.9894,0.899968333,0.100031617,0,2.238186667,0,1010.795333,2812.265333,35.90393333,38.77886667,37.65393333,38.3956,35.88713333,269.981,30.00833333,0,1743784316,0,2.258344,1.016607703,0.458461553,1010.7924,15,1743784336,11:32:15,1743784336,1743784333,9,0.227,-0.004,-1.182,0.034,600,15,0.46,0.16,-0.817817439,0.439784028,0.057807936,1,2.242488235,0.50143316,0.221691538,-1,0.049116678,0.000311609,0.000815197,1,2,2,2-Feb,3.13493,2.76029,0.122643,0.12141,0.0768054,0.0757798,28135.9,28142.5,29794.8,29589.7,36391.5,36242.9,41973.8,42047.5,1.94597,1.92323,0.0868291,0,23.5761,999.9,38.1,26.8,14.9011,62.1104,28.726,1,-0.108834,-0.441547,20.4093,5.22613,12.0099,4.9919,3.28993,9999,9999,9999,999.9,1.86705,1.86616,1.8656,1.86554,1.86737,1.86996,1.86857,1.87002,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-1.182,0.034,-0.158690136,-0.002150082,2.08E-07,-1.53E-10,-0.052027131,-0.002722057,0.000786767,-1.37E-05,4,2345,1,26,1.3,1.3,1.37207,2.24365,1.39648,2.3584,1.49536,2.59155,31.1504,15.8745,18,482.769,458.869,24.8047,26.1096,30.0001,26.0076,25.9358,27.4813,-30,-30,24.7937,600,0,101.896,101.101,NA
9,1743784411,709.5,20250404 11:33:30,11:33:30,5,5052_mai_purple,stan,1743784403,0.000117789,0.117789057,1.715662402,799.2847742,304.356852,27.55617638,72.36647401,0.005762054,2.845645389,0.00575558,0.003597819,49.61484194,25.54944256,24.98470968,3.176780166,42.38633961,1.370410844,3.233142697,1.806369322,-5.194497399,45.29932334,3.371704812,93.0913727,0,0,1,0,48085,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,299.9866129,252.8887437,0.843000097,0.165390187,2,0.5,0: Broadleaf,2,1743784403,799.2847742,800.0087097,15.13613226,15.08972903,800.5937742,15.10213226,499.9919032,90.43904516,0.099992174,25.27998387,24.98470968,999.9,0,0,9998.789677,0,175.5142903,-1.012937645,811.2760323,812.2655484,0.047221852,800.0087097,15.08972903,1.36897129,1.364700323,11.57823548,11.5309871,299.9866129,0.900006194,0.09999351,0,2.245687097,0,1008.522903,2812.272581,35.532,39.06022581,37.36070968,38.28603226,35.80212903,269.9903226,30,0,1743784410,0,2.260242308,0.831552152,-0.798632496,1008.498462,15,1743784427,11:33:46,1743784427,1743784427,10,0.29,-0.001,-1.309,0.034,800,15,0.53,0.14,-1.034048951,0.363027951,0.074303566,1,2.206976471,0.637271205,0.17478701,-1,0.04680919,0.006307242,0.000950312,1,2,2,2-Feb,3.13495,2.76034,0.149252,0.147788,0.0770584,0.0760217,27282.1,27298.5,29794,29590.4,36381.1,36234.1,41972.9,42047.8,1.94635,1.92325,0.0864342,0,23.5652,999.9,38.2,26.8,14.9415,62.3104,28.766,1,-0.108166,-0.57808,20.4108,5.22732,12.0104,4.9924,3.28975,9999,9999,9999,999.9,1.86705,1.86616,1.86556,1.86554,1.86737,1.86996,1.86857,1.87002,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-1.309,0.034,0.06865773,-0.002150082,2.08E-07,-1.53E-10,-0.056424566,-0.002722057,0.000786767,-1.37E-05,4,2345,1,26,1.2,1.3,1.72607,2.23999,1.39648,2.35962,1.49536,2.68799,31.1939,15.8745,18,483.054,458.96,24.9769,26.1147,30.0001,26.0142,25.945,34.5525,-30,-30,24.9787,800,0,101.894,101.103,NA
10,1743784501,800,20250404 11:35:01,11:35:01,5,5052_mai_purple,stan,1743784493,0.000118945,0.118945201,2.283995232,999.0473333,349.1883275,31.61537632,90.45335973,0.005826447,2.846030449,0.005819828,0.003637987,49.61538374,25.56738869,25.00187667,3.180033366,42.5175988,1.376151126,3.236662381,1.80388224,-5.245483375,45.47767992,3.385126031,93.23270631,0,0,1,0,48082,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,299.9864,252.8888632,0.843001093,0.16539211,2,0.5,0: Broadleaf,2,1743784493,999.0473333,1000.0085,15.19943667,15.15258,1000.760333,15.16343667,499.9813667,90.43964333,0.09997047,25.29827333,25.00187667,999.9,0,0,10001.08367,0,175.7110667,-0.985453033,1014.439333,1015.393333,0.045542143,1000.0085,15.15258,1.374512667,1.370394,11.63933667,11.59393,299.9864,0.8999592,0.100040787,0,2.179546667,0,1009.472667,2812.226667,35.9559,40.23723333,37.89773333,39.91013333,36.3915,269.9746667,30.00933333,0,1743784501,0,2.191852,0.053023077,-1.329999999,1009.4572,15,1743784539,11:35:39,1743784539,1743784520,11,0.028,0.002,-1.713,0.036,1000,15,0.31,0.18,-1.010171575,0.496222188,0.087887228,1,2.182238235,0.025138276,0.201749227,-1,0.04613373,-0.009706257,0.001161301,1,2,2,2-Feb,3.13486,2.76019,0.172706,0.171033,0.0772952,0.0762558,26529.5,26553.3,29793.1,29589.4,36370.9,36224.7,41971.6,42047.3,1.94615,1.9237,0.0870116,0,23.5741,999.9,38.2,26.9,15.0299,62.2704,28.73,1,-0.107927,-0.51585,20.4102,5.22133,12.0101,4.99165,3.28895,9999,9999,9999,999.9,1.86706,1.86619,1.86556,1.86561,1.86737,1.86996,1.86858,1.87007,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-1.713,0.036,0.359059083,-0.002150082,2.08E-07,-1.53E-10,-0.057280602,-0.002722057,0.000786767,-1.37E-05,4,2345,1,26,1.2,1.2,2.06421,2.23022,1.39648,2.35962,1.49536,2.64893,31.2374,15.8657,18,482.986,459.291,24.9439,26.1184,30.0001,26.0207,25.951,41.3062,-30,-30,24.9487,1000,0,101.891,101.1,NA
